STT,Text,Labels
1,"Một tín chỉ được tính tương đương 50 giờ học tập của sinh viên, bao gồm cả thời gian dự giờ giảng, tự học và dự kiểm tra.",Quy_Che_Quy_Dinh
2,"Theo quy định của trường, 1 tín chỉ sẽ tương đương với 15 tiết học lý thuyết trên lớp.",Quy_Che_Quy_Dinh
3,"Đối với các môn thực hành hoặc thí nghiệm, một tín chỉ được quy định bằng 30 tiết.",Quy_Che_Quy_Dinh
4,Cho em hỏi 1 tín chỉ thực hành tương đương với bao nhiêu tiết trên xưởng vậy ạ?,Quy_Che_Quy_Dinh
5,1 tính chỉ là bao nhiêu tiết lý thuyết vậy mọi người ơi,Quy_Che_Quy_Dinh
6,"Thời gian đào tạo chính khóa của hệ đại học chính quy văn bằng 1 là từ 3,5 đến 5 năm.",Quy_Che_Quy_Dinh
7,Sinh viên có thể học vượt nhưng không được phép tốt nghiệp trước khoảng thời gian tối thiểu tính từ khi nhập học.,Quy_Che_Quy_Dinh
8,Cho hỏi thời gian tối đa để hoàn thành chương trình đại học hệ chính quy là mấy năm?,Quy_Che_Quy_Dinh
9,thời gian học trễ hạn tối đa đhcq là bao nhiêu năm dạ,Quy_Che_Quy_Dinh
10,Học phần tiên quyết là môn học bắt buộc sinh viên phải học xong và có kết quả đạt thì mới được đăng ký môn học tiếp theo.,Quy_Che_Quy_Dinh
11,Điểm khác biệt giữa học phần tiên quyết và học phần học trước là gì?,Quy_Che_Quy_Dinh
12,"Môn A là môn học trước của môn B, vậy em rớt môn A thì kỳ sau có được đăng ký môn B không?",Quy_Che_Quy_Dinh
13,đăng ký môn song hành như thế nào ạ có cần học cùng lúc không,Quy_Che_Quy_Dinh
14,"Học phần thay thế được dùng khi khóa sau không còn tổ chức giảng dạy môn đó nữa, hoặc để thay thế cho một môn tự chọn bị rớt điểm F.",Quy_Che_Quy_Dinh
15,Điều kiện để một học phần được coi là tương đương là phải có nội dung giống ít nhất 75% và số tín chỉ tương đương.,Quy_Che_Quy_Dinh
16,Năm học tại IUH bao gồm hai học kỳ chính và một học kỳ phụ tự nguyện trong dịp hè.,Quy_Che_Quy_Dinh
17,kỳ hè trường mình kéo dài mấy tuần vậy ạ,Quy_Che_Quy_Dinh
18,Chương trình đào tạo tăng cường tiếng Anh yêu cầu tối thiểu 20 tín chỉ được giảng dạy và đánh giá hoàn toàn bằng tiếng Anh.,Quy_Che_Quy_Dinh
19,CTĐT Cử nhân tài năng có yêu cầu đầu vào về ngoại ngữ và thành tích học tập không?,Quy_Che_Quy_Dinh
20,Điểm trung bình chung tích lũy (ĐTBCTL) là cơ sở quan trọng nhất để nhà trường xét học bổng và xét tốt nghiệp cho sinh viên.,Quy_Che_Quy_Dinh
21,điểm tbhl với điểm tbctl khác nhau chỗ nào thế ạ,Quy_Che_Quy_Dinh
22,Điểm trung bình học lực sẽ tính cả những môn không đạt hoặc sinh viên bỏ học.,Quy_Che_Quy_Dinh
23,"1. Phương thức tổ chức đào tạo theo hệ thống tín chỉ: là phương thức tổ chức đào tạo theo lớp học phần, cho phép sinh viên tích lũy tín chỉ của từng học phần và thực hiện chương trình đào tạo theo kế hoạch học tập của cá nhân sao cho phù hợp với kế hoạch giảng dạy của đơn vị đào tạo và của Trường.",Quy_Che_Quy_Dinh
24,"2. Hình thức đào tạo: là cách thức tổ chức hoạt động đào tạo, chương trình đào tạo nhằm cung cấp và củng cố nền tảng kiến thức chuyên môn liên quan đến ngành/chuyên ngành mà sinh viên đang theo học tại Trường. Nhà trường hiện có các hình thức đào tạo sau đây:",Quy_Che_Quy_Dinh
25,"– Bao gồm các loại hình đào tạo: văn bằng 1 đại học chính quy hay còn được gọi là hệ chính quy (gọi tắt là ĐHCQ), liên thông từ trình độ đại học sang trình độ đại học hình thức chính quy (gọi tắt là VB2CQ), đào tạo từ xa trình độ đại học (gọi tắt là ĐHTX), liên thông từ trình độ cao đẳng lên trình độ đại học hình thức chính quy (gọi tắt là LTCĐCQ), liên thông từ trung cấp lên trình độ đại học hình thức chính quy (gọi tắt là LTTCCQ).",Quy_Che_Quy_Dinh
26,"– Các hoạt động giảng dạy được thực hiện tại Trường, riêng những hoạt động thực hành, thực tập, trải nghiệm thực tế và giảng dạy trực tuyến có thể thực hiện ngoài Trường;",Quy_Che_Quy_Dinh
27,– Thời gian tổ chức hoạt động giảng dạy trong khoảng từ 06 giờ đến 21 giờ các ngày trong tuần từ thứ 2 đến thứ 7; thời gian tổ chức những hoạt động đặc thù của chương trình đào tạo được thực hiện theo quy định của Trường.,Quy_Che_Quy_Dinh
28,b) Hình thức đào tạo Vừa làm vừa học:,Quy_Che_Quy_Dinh
29,"– Bao gồm các loại hình đào tạo: văn bằng 1 đại học vừa làm vừa học (gọi tắt là VB1VLVH), liên thông từ đại học sang trình độ đại học hình thức vừa làm vừa học (gọi tắt là VB2VLVH), liên thông từ cao đẳng lên trình độ đại học hình thức vừa làm vừa học (gọi tắt là LTCĐVLVH), liên thông từ trung cấp lên trình độ đại học hình thức vừa làm vừa học (gọi tắt là LTTCVLVH).",Quy_Che_Quy_Dinh
