STT,Thông tin,Label
1,Website của khoa công nghệ cơ khí: fme.iuh.edu.vn,Thong_tin_khoa
2,Email của khoa công nghệ cơ khí: fme@iuh.edu.vn,Thong_tin_khoa
3,"Khoa Công nghệ Cơ khí được thành lập năm 2005. Đến năm 2011, sáp nhập Trung tâm Cơ khí và Trung tâm Gò hàn vào Khoa Công nghệ Cơ khí. Tiền thân của Khoa Công nghệ Cơ khí là ban Máy công cụ, Nguội, Gò-Hàn-Rèn  của Trường Trung học Kỹ thuật Don Bosco từ năm 1968.",Thong_tin_khoa
4,"Khoa Công nghệ Cơ khí hiện nay đảm nhiệm công tác đào tạo cao đẳng ngành Công nghệ Kỹ thuật Cơ khí, đại học ngành Công nghệ Kỹ thuật Cơ khí, Công nghệ Chế tạo máy và Công nghệ Kỹ thuật Cơ điện tử. Khoa còn có nhiệm vụ đào tạo sau đại học ngành Kỹ thuật Cơ khí. Các công tác khác bao gồm nghiên cứu khoa học và chuyển giao công nghệ phục vụ sản xuất.",Thong_tin_khoa
5,"Khoa Công nghệ Cơ khí có sáu đơn vị trực thuộc, gồm bốn bộ môn: bộ môn Cơ sở-Thiết kế, bộ môn Chế tạo máy, bộ môn Cơ điện tử và bộ môn CAD/CAM/CNC; hai xưởng thực hành: xưởng Cơ điện và xưởng Gia công cắt gọt. Khoa có 78 Giảng viên và 4 Nhân viên, trong đó có: 3 Phó giáo sư và 13 Tiến sĩ, ngoài ra còn có 8 Tiến sĩ là Giảng viên thỉnh giảng.",Thong_tin_khoa
6,"Trong quá trình học tập, các sinh viên đạt được nhiều huy chương trong Hội thi tay nghề Asean, năm 2002 đạt 1 huy chương bạc, năm 2004 đạt 1 huy chương vàng và năm 2006 đạt 2 huy chương vàng. Sinh viên tham gia nghiên cứu khoa học và đạt được 1 giải nhất giải thưởng sinh viên nghiên cứu khoa học Eureka Thành phố Hồ Chí Minh năm 2015.",Thong_tin_khoa
7,"Khoa Công nghệ Cơ khí định hướng phát triển và xây dựng các phòng thí nghiệm đạt chuẩn Quốc tế và khu vực, trang bị các máy tiện phay CNC 6, 8, 9 trục. Khoa Công nghệ Cơ khí đang xây dựng chương trình đào tạo đại học theo chuẩn ABET cho 3 chuyên ngành Cơ khí, Chế tạo máy và Cơ điện tử, đến năm 2020 kiểm định thành công 2 chương trình Cơ khí và Chế tạo máy đạt chuẩn ABET. Tăng cường kết nối doanh nghiệp để xây dựng chương trình đào, sinh viên thực tập cũng như nghiên cứu khoa học, thực hiện các đề tài khoa học và tốt nghiệp tại doanh nghiệp.",Thong_tin_khoa
8,"Khoa Công nghệ Cơ khí là một khoa công nghệ dẫn đầu về đào tạo và được trang bị máy móc, thiết bị dạy học hiện đại bậc nhất của Trường Đại học Công nghiệp, bao gồm hệ thống phòng thí nghiệm, thực hành hiện đại với các xưởng Tiện, xưởng Phay, xưởng Tiện – Phay CNC với các máy 3 và 5 trục, xưởng cắt dây EDM, gia công bằng điện cực, xưởng Gò – Hàn, xưởng Nguội, xưởng Sửa chữa, xưởng Cơ điện, phòng thực hành CAD/CAM, phòng Đo lường, phòng thực hành Cơ điện tử, phòng Khí nén thủy lực và phòng thí nghiệm Cơ học và vật liệu. Tất cả được trang bị các thiết bị của hãng Festo và DMG của Đức, Nhật Bản, Hàn Quốc và Đài Loan.",Thong_tin_khoa
9,Website của khoa công nghệ điện: feet.iuh.edu.vn,Thong_tin_khoa
10,Email của khoa công nghệ điện: feet@iuh.edu.vn,Thong_tin_khoa
