STT,Text,Labels
1,"Năm 2026, Trường Đại học Công nghiệp Thành phố Hồ Chí Minh (IUH) chính thức thông báo tuyển sinh trình độ đại học hệ chính quy.",Thong_Tin_Tuyen_Sinh
2,"Nguyên tắc chung trong công tác tuyển sinh đại học năm 2026 của IUH là tạo điều kiện thuận lợi, cơ hội tối đa cho thí sinh, đảm bảo tính công bằng, công khai và minh bạch.",Thong_Tin_Tuyen_Sinh
3,Đối tượng tuyển sinh hệ đại học chính quy năm 2026 của IUH bao gồm các thí sinh đã tốt nghiệp THPT theo quy định của Bộ Giáo dục và Đào tạo.,Thong_Tin_Tuyen_Sinh
4,"Thí sinh dự tuyển vào Trường Đại học Công nghiệp TP.HCM năm 2026 phải đáp ứng đủ điều kiện sức khỏe để học tập và có đầy đủ thông tin cá nhân, hồ sơ theo quy định.",Thong_Tin_Tuyen_Sinh
5,Phạm vi tuyển sinh đại học hệ chính quy năm 2026 của Trường Đại học Công nghiệp TP.HCM là tuyển sinh trên phạm vi toàn quốc.,Thong_Tin_Tuyen_Sinh
6,"Tại Trụ sở chính TP.HCM, IUH áp dụng phương thức xét tuyển thẳng năm 2026 theo quy chế tuyển sinh của Bộ Giáo dục và Đào tạo.",Thong_Tin_Tuyen_Sinh
7,"Năm 2026, Trường Đại học Công nghiệp TP.HCM áp dụng phương thức xét tuyển kết hợp sử dụng kết quả thi tốt nghiệp THPT năm 2026.",Thong_Tin_Tuyen_Sinh
8,Phương thức xét tuyển kết hợp năm 2026 của IUH có sử dụng kết quả kỳ thi đánh giá năng lực do Đại học Quốc gia TP.HCM tổ chức.,Thong_Tin_Tuyen_Sinh
9,IUH sử dụng kết quả học tập THPT năm lớp 12 làm một trong các tiêu chí của phương thức xét tuyển kết hợp năm 2026.,Thong_Tin_Tuyen_Sinh
10,"Trong phương thức xét tuyển kết hợp năm 2026, IUH xét thêm thành tích nổi bật của thí sinh như đạt giải học sinh giỏi, Olympic môn văn hóa cấp tỉnh/thành phố (môn thuộc tổ hợp xét tuyển).",Thong_Tin_Tuyen_Sinh
11,Thí sinh đạt giải trong cuộc thi Khoa học – Kỹ thuật cấp tỉnh/thành phố trở lên (có đề tài phù hợp với ngành) được tính là có thành tích nổi bật khi xét tuyển vào IUH năm 2026.,Thong_Tin_Tuyen_Sinh
12,"Trường Đại học Công nghiệp TP.HCM năm 2026 ưu tiên xét tuyển đối với các học sinh trường chuyên và học sinh đạt danh hiệu học sinh giỏi 3 năm THPT (lớp 10, 11, 12).",Thong_Tin_Tuyen_Sinh
13,Học sinh thuộc các trường THPT chất lượng tốt hoặc Top đầu có ký kết hợp tác với IUH sẽ được ưu tiên trong phương thức xét tuyển kết hợp năm 2026.,Thong_Tin_Tuyen_Sinh
14,"Tại Phân hiệu Quảng Ngãi, quy định về phương thức, tổ hợp và thời gian xét tuyển đại học năm 2026 được áp dụng tương tự như tại Trụ sở chính TP.HCM.",Thong_Tin_Tuyen_Sinh
15,Sinh viên trúng tuyển và học tập tại Phân hiệu Quảng Ngãi của IUH năm 2026 sẽ được giảm 50% học phí.,Thong_Tin_Tuyen_Sinh
16,"Dù học tại Phân hiệu Quảng Ngãi, sinh viên IUH tuyển sinh năm 2026 vẫn được hưởng mọi quyền lợi học tập, sinh hoạt giống như sinh viên thuộc Trụ sở chính tại TP.HCM.",Thong_Tin_Tuyen_Sinh
17,"Chương trình đào tạo tại Phân hiệu Quảng Ngãi năm 2026 áp dụng hình thức học (2+2), sinh viên học 2 năm đầu tại Quảng Ngãi và 2 năm tiếp theo tại Trụ sở chính TP.HCM.",Thong_Tin_Tuyen_Sinh
18,"Năm 2026, ngành Công nghệ kỹ thuật điện, điện tử (mã đại trà 7510301, mã tăng cường tiếng Anh 7510301C) của IUH xét tuyển 2 môn bắt buộc Toán, Vật Lý và nhóm môn tự chọn TC1.",Thong_Tin_Tuyen_Sinh
19,"Ngành Tự động hóa tại IUH năm 2026 đào tạo 2 chuyên ngành: Công nghệ KT điều khiển & tự động hóa và Robot & hệ thống điều khiển thông minh, mã ngành đại trà là 7510303.",Thong_Tin_Tuyen_Sinh
20,"Ngành Công nghệ kỹ thuật điện tử - viễn thông năm 2026 (mã 7510302) của IUH có 3 chuyên ngành: Điện tử công nghiệp, Kỹ thuật viễn thông, IOT và Trí tuệ nhân tạo ứng dụng.",Thong_Tin_Tuyen_Sinh
21,"Ngành Kỹ thuật máy tính tại IUH năm 2026 (mã 7480108) xét tuyển 2 môn bắt buộc Toán, Vật Lý kết hợp nhóm TC1, gồm chuyên ngành CNKT máy tính và Kỹ thuật thiết kế vi mạch.",Thong_Tin_Tuyen_Sinh
22,"Năm 2026, nhóm ngành Công nghệ thông tin của IUH (mã 7480201) xét tuyển dựa trên 2 môn bắt buộc Toán, Ngữ văn kết hợp với nhóm môn TC2.",Thong_Tin_Tuyen_Sinh
23,"Nhóm ngành Công nghệ thông tin chương trình tăng cường tiếng Anh năm 2026 của IUH (mã 7480201C) bao gồm các ngành: Công nghệ thông tin, Kỹ thuật phần mềm, Khoa học máy tính, Hệ thống thông tin.",Thong_Tin_Tuyen_Sinh
24,"Ngành Công nghệ hóa học tại IUH năm 2026 (mã 7510401) xét tuyển 2 môn bắt buộc Toán, Hóa học kết hợp với nhóm môn TC3.",Thong_Tin_Tuyen_Sinh
25,"Ngành Công nghệ sinh học của IUH năm 2026 (mã 7420201) xét tuyển môn Toán, Sinh học cùng Nhóm môn TC5, gồm chuyên ngành thẩm mỹ, y dược và nông nghiệp.",Thong_Tin_Tuyen_Sinh
26,"Trong đợt tuyển sinh năm 2026 của IUH, ngành Quản lý đất đai (mã 7850103) xét tuyển 2 môn Toán, Địa lí và nhóm môn tự chọn TC4.",Thong_Tin_Tuyen_Sinh
27,"Năm 2026, ngành Kế toán của IUH mã đại trà 7340301 xét tuyển 2 môn Toán, Ngữ văn cùng nhóm môn tự chọn TC6.",Thong_Tin_Tuyen_Sinh
28,Trường Đại học Công nghiệp TP.HCM (IUH) năm 2026 có đào tạo đặc thù ngành Kế toán tích hợp chứng chỉ quốc tế ACCA với mã ngành 7340301Q.,Thong_Tin_Tuyen_Sinh
29,Ngành Kiểm toán tích hợp chứng chỉ quốc tế CFAB của Viện ICAEW tại IUH năm 2026 có mã ngành xét tuyển là 7340302Q.,Thong_Tin_Tuyen_Sinh
30,"Năm 2026, ngành Quản trị dịch vụ du lịch và lữ hành (mã 7810103) của IUH xét tuyển 2 môn Toán, Tiếng Anh kết hợp nhóm môn tự chọn TC7.",Thong_Tin_Tuyen_Sinh
31,"Ngành Ngôn ngữ Anh (mã 7220201) và Ngôn ngữ Trung Quốc (mã 7220204) của IUH năm 2026 xét tuyển môn Ngữ văn, Tiếng Anh kết hợp nhóm môn TC8.",Thong_Tin_Tuyen_Sinh
32,"Năm 2026, ngành Luật kinh tế tại IUH (mã 7380107) xét tuyển môn Toán, Tiếng Anh kết hợp nhóm TC9, hoặc môn Ngữ văn, Lịch sử kết hợp nhóm TC11.",Thong_Tin_Tuyen_Sinh
33,"Trong danh mục tuyển sinh 2026 của IUH, các ngành đánh dấu (*) sẽ có thêm chương trình đào tạo tiếng Anh toàn phần.",Thong_Tin_Tuyen_Sinh
34,Các ngành đánh dấu (**) trong thông báo tuyển sinh 2026 của IUH sẽ có thêm chương trình đào tạo kỹ sư/cử nhân tài năng.,Thong_Tin_Tuyen_Sinh
35,Các ngành đánh dấu (***) tại IUH năm 2026 sẽ đào tạo kết hợp cả chương trình tiếng Anh toàn phần và chương trình kỹ sư/cử nhân tài năng.,Thong_Tin_Tuyen_Sinh
36,"Năm 2026, IUH triển khai chương trình chuyển tiếp du học với Đại học Angelo State University (ASU) của Hoa Kỳ dành cho sinh viên trúng tuyển đại học chính quy.",Thong_Tin_Tuyen_Sinh
37,Sinh viên IUH tham gia chương trình chuyển tiếp sẽ học giai đoạn 2 tại trường ASU (Mỹ) và khi tốt nghiệp sẽ được nhận bằng đại học do trường ASU cấp.,Thong_Tin_Tuyen_Sinh
38,"Trường hợp không đủ điều kiện chuyển tiếp sang ASU, sinh viên IUH vẫn tiếp tục học chương trình chính quy năm 2026 và nhận bằng do Đại học Công nghiệp TP.HCM cấp.",Thong_Tin_Tuyen_Sinh
39,Sinh viên IUH tham gia chương trình du học ASU năm 2026 được Tổ chức Giáo dục Toàn cầu Ellacy (EGE) cam kết cấp học bổng từ 60% đến 90% học phí.,Thong_Tin_Tuyen_Sinh
40,Mức học phí dự kiến còn lại khi sinh viên IUH học chuyển tiếp tại đại học ASU (Mỹ) là khoảng 9.300 USD cho một năm học.,Thong_Tin_Tuyen_Sinh
41,"Chương trình chuyển tiếp ASU mô hình đào tạo 1 năm tại IUH và 3 năm tại ASU áp dụng cho các ngành: Quản trị kinh doanh, Marketing, Kinh doanh Quốc tế, Tài chính, Kế toán, Khoa học máy tính, An ninh mạng, Kỹ thuật xây dựng, Kỹ thuật cơ khí, Sinh học, Hóa học, Ngôn ngữ Anh, Quản lý tài nguyên và môi trường.",Thong_Tin_Tuyen_Sinh
42,"Chương trình chuyển tiếp ASU mô hình đào tạo 2 năm tại IUH và 2 năm tại ASU áp dụng cho các ngành: Quản trị kinh doanh, Marketing, Kinh doanh Quốc tế, Tài chính, Kế toán, Khoa học máy tính, Ngôn ngữ Anh, Quản lý tài nguyên và môi trường.",Thong_Tin_Tuyen_Sinh
43,"Tại Phân hiệu Quảng Ngãi năm 2026, IUH tuyển sinh ngành Công nghệ kỹ thuật điện, điện tử (mã 7510301) theo tổ hợp 2 môn Toán, Vật Lý và nhóm môn TC1.",Thong_Tin_Tuyen_Sinh
44,"Phân hiệu Quảng Ngãi của IUH xét tuyển ngành Công nghệ thông tin (mã 7480201) năm 2026 với tổ hợp 2 môn Toán, Ngữ văn và nhóm môn TC2.",Thong_Tin_Tuyen_Sinh
45,"Trong quy chế tuyển sinh 2026 của IUH, Nhóm môn tự chọn TC1 bao gồm các môn: Ngữ văn, Tiếng Anh, Hóa học, Công nghệ công nghiệp, Tin học, GD kinh tế - Pháp luật.",Thong_Tin_Tuyen_Sinh
46,"Nhóm môn tự chọn TC2 áp dụng xét tuyển tại IUH năm 2026 bao gồm: Vật lí, Hóa học, Tin học, Tiếng Anh, Công nghệ công nghiệp.",Thong_Tin_Tuyen_Sinh
47,"Nhóm môn tự chọn TC3 xét tuyển vào IUH năm 2026 gồm có: Vật lí, Sinh học, Ngữ văn, Công nghệ công nghiệp, Tiếng Anh.",Thong_Tin_Tuyen_Sinh
48,"Nhóm môn tự chọn TC4 của IUH quy định năm 2026 bao gồm: Tiếng Anh, Hóa học, Sinh học, Công nghệ nông nghiệp, GD kinh tế - Pháp luật, Ngữ văn.",Thong_Tin_Tuyen_Sinh
49,"Trong thông báo tuyển sinh IUH 2026, Nhóm môn tự chọn TC5 gồm các môn: Vật lí, Hóa học, Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp, GD kinh tế - Pháp luật.",Thong_Tin_Tuyen_Sinh
50,"Nhóm môn tự chọn TC6 được IUH sử dụng xét tuyển năm 2026 bao gồm: Tiếng Anh, Vật lí, Địa lí, Lịch sử, GD kinh tế - Pháp luật, Tin học.",Thong_Tin_Tuyen_Sinh
51,"Theo đề án tuyển sinh IUH 2026, Nhóm môn tự chọn TC7 gồm các môn: Ngữ văn, Vật lí, Địa lí, Lịch sử, GD kinh tế - Pháp luật, Tin học.",Thong_Tin_Tuyen_Sinh
52,"Nhóm môn tự chọn TC8 tuyển sinh năm 2026 tại IUH bao gồm: Toán, Lịch sử, Địa lí, GD Kinh tế - Pháp luật.",Thong_Tin_Tuyen_Sinh
53,"Nhóm môn tự chọn TC9 áp dụng cho kỳ tuyển sinh IUH 2026 gồm: Ngữ văn, Địa lí, GD Kinh tế - Pháp luật, Lịch sử, Vật lí, Tin học.",Thong_Tin_Tuyen_Sinh
54,"Nhóm môn tự chọn TC10 của IUH năm 2026 bao gồm các môn: Vật lí, Hóa học, Địa lí, Tiếng Anh, Công nghệ nông nghiệp, Sinh học, GD Kinh tế - Pháp luật.",Thong_Tin_Tuyen_Sinh
55,"Nhóm môn tự chọn TC11 trong phương thức xét tuyển của IUH năm 2026 bao gồm: Toán, Địa lí, GD Kinh tế - Pháp luật, Vật lí, Tin học, Tiếng Anh.",Thong_Tin_Tuyen_Sinh
56,"Năm 2026, ngành Kỹ thuật Radar - Dẫn đường tại Trụ sở chính IUH (mã 7510204) đào tạo 02 chuyên ngành: Hệ thống tự hành và Điện tử thông minh.",Thong_Tin_Tuyen_Sinh
57,"Tại Trụ sở chính TP.HCM năm 2026, IUH tuyển sinh ngành Công nghệ kỹ thuật cơ khí với mã ngành đại trà là 7510201 và mã tăng cường tiếng Anh là 7510201C.",Thong_Tin_Tuyen_Sinh
58,"Ngành Công nghệ kỹ thuật cơ điện tử (mã 7510203) tại Trụ sở chính IUH năm 2026 xét tuyển 2 môn Toán, Vật Lý kết hợp nhóm môn tự chọn TC1.",Thong_Tin_Tuyen_Sinh
