STT,Thông tin,Label
1,Du lịch xứ Thanh: Đánh thức tiềm năng - Hội thảo chuyên đề tại IUH Thanh Hóa,Nghiên cứu
2,Hội thảo Quốc tế về Định hướng Phát triển Hydro tại Trường Đại học Công nghiệp TP.HCM,Nghiên cứu
3,ICITE 2025 lần đầu tổ chức tại Việt Nam: Kết nối đổi mới sáng tạo trong công nghệ và giáo dục,Nghiên cứu
4,AI trong hệ thống điện thông minh của ABB: Bước tiến đổi mới công nghệ tại IUH,Nghiên cứu
5,Hội thảo quốc tế ACM RACS 2025 tại IUH: Kết nối cộng đồng nghiên cứu khu vực châu Á - Thái Bình Dương và toàn cầu,Nghiên cứu
6,"Hội nghị Khoa học trẻ IUH 2025: Quy tụ nghiên cứu trẻ trong lĩnh vực công nghệ, kỹ thuật, kinh tế và môi trường",Nghiên cứu
7,Hội thảo “Quản trị và thương mại hoá tài sản trí tuệ trong trường đại học” - Thúc đẩy liên kết nghiên cứu và thị trường tại IUH,Nghiên cứu
8,Hội nghị quốc tế VietCALL tại IUH: Mang AI vào dạy và học ngôn ngữ,Nghiên cứu
9,Hội thảo quốc gia: 50 năm pháp luật Việt Nam – Hành trình bảo vệ quyền và lợi ích của công dân”,Nghiên cứu
10,IUH đăng cai thành công hai hội nghị quốc tế tầm cỡ: APPFC2025 và MTFC2025 về Thực phẩm Tương lai và Công nghệ Lên men Truyền thống,Nghiên cứu
11,Khép lại chuỗi Seminar ứng dụng AI: IUH nâng cao năng lực số cho giảng viên,Nghiên cứu
12,Chào đón mùa 2 Dự án “Kết nối Tri thức ” của Quỹ Eurasia tại IUH,Nghiên cứu
13,IUH triển khai tập huấn mô phỏng quản trị chiến lược với phần mềm PriME SIM,Nghiên cứu
14,APSIPA 2025 – Diễn đàn quốc tế về Xử lý tín hiệu và Thông tin diễn ra tại IUH,Nghiên cứu
15,Hội thảo Quốc gia ngành Hóa lần XI tại IUH: Gắn kết nghiên cứu với thực tiễn,Nghiên cứu
16,"Hội thảo quốc gia 2025 về công nghệ số, kinh tế số tại Đại học Công nghiệp TP. HCM",Nghiên cứu
17,IUH Bass 2025 – Thu hút hàng trăm bài nghiên cứu khoa học,Nghiên cứu
18,ICCSS 2025 và SSPS 2025: Hai hội nghị khoa học quốc tế quy tụ hơn 400 đại biểu tại IUH,Nghiên cứu
19,Hội thảo khoa học cấp Trường: “Nâng cao chất lượng đào tạo – Thực trạng và giải pháp”,Nghiên cứu
20,Hội nghị khoa học quốc tế BAIC 2025 lần 2 tại IUH - Sức mạnh AI trong quản trị,Nghiên cứu
21,Lễ trao học bổng và Hội thảo công nghệ hiệu chỉnh ADAS tại Đại học Công nghiệp TP. HCM,Nghiên cứu
22,Hội thảo Sinh viên Nghiên cứu Khoa học Khoa Công nghệ Nhiệt Lạnh lần thứ 5 – 2023,Nghiên cứu
23,Hội thảo Sinh viên Nghiên cứu khoa học Khoa Quản trị Kinh doanh lần thứ V – IUH BASS 2023,Nghiên cứu
24,Hội nghị Khoa học trẻ IUH lần 4 năm 2022 - Nơi ươm mầm cho đam mê nghiên cứu khoa học,Nghiên cứu
25,Lễ công bố Quyết định thành lập và ra mắt các nhóm nghiên cứu của Trường Đại học Công nghiệp TP. Hồ Chí Minh,Nghiên cứu
26,Hội thảo Khoa học Khởi nghiệp - Đổi mới sáng tạo năm 2021,Nghiên cứu
27,Nhóm nghiên cứu - Chìa khoá thúc đẩy nghiên cứu khoa học tại IUH,Nghiên cứu
28,Hội thảo khoa học lần 3: Sinh viên với xu hướng phát triển ngành kỹ thuật nhiệt trong thời đại 4.0,Nghiên cứu
29,Hội thảo các nghiên cứu tiên tiến trong khoa học nhiệt và lưu chất,Nghiên cứu
30,"Hội nghị Khoa học trẻ lần 3 năm 2021: ""Tri thức trẻ thời đại 4.0""",Nghiên cứu
31,Hội thảo nghiên cứu khoa học sinh viên Khoa Quản trị kinh doanh - IUHBASS III,Nghiên cứu
32,Hội thảo nghiên cứu khoa học sinh viên - Khoa Thương mại và Du lịch lần thứ 2 năm 2021,Nghiên cứu
33,Thông báo v/v gia hạn thời gian nộp bài báo Hội nghị Khoa học trẻ lần 3 năm 2021,Nghiên cứu
34,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần thứ 3 - năm 2021,Nghiên cứu
35,Thông báo v/v gia hạn thời gian nhận bài tham gia Hội nghị Khoa học trẻ 2020,Nghiên cứu
36,Hội thảo quốc tế Hoá học và Ứng dụng năm 2020,Nghiên cứu
37,Hội thảo Sinh viên nghiên cứu khoa học Khoa Quản trị kinh doanh lần 2 - năm 2020,Nghiên cứu
38,Kế hoạch tổ chức Hội nghị Khoa học trẻ lần 2 - năm 2020,Nghiên cứu
