STT,Contents,Labels,length,clean_text
1,"một tín chỉ được tính tương đương 50 giờ học tập của sinh viên, bao gồm cả thời gian dự giờ giảng, tự học và dự kiểm tra.",Quy_Che_Quy_Dinh,28,một tín chỉ được tính tương đương 50 giờ học tập của sinh viên bao gồm cả thời gian dự giờ giảng tự học và dự kiểm tra
2,"theo quy định của trường, 1 tín chỉ sẽ tương đương với 15 tiết học lý thuyết trên lớp.",Quy_Che_Quy_Dinh,19,theo quy định của trường 1 tín chỉ sẽ tương đương với 15 tiết học lý thuyết trên lớp
3,"đối với các môn thực hành hoặc thí nghiệm, một tín chỉ được quy định bằng 30 tiết.",Quy_Che_Quy_Dinh,18,đối với các môn thực hành hoặc thí nghiệm một tín chỉ được quy định bằng 30 tiết
4,cho em hỏi 1 tín chỉ thực hành tương đương với bao nhiêu tiết trên xưởng vậy ạ?,Quy_Che_Quy_Dinh,18,cho em hỏi 1 tín chỉ thực hành tương đương với bao nhiêu tiết trên xưởng vậy ạ
5,1 tín chỉ là bao nhiêu tiết lý thuyết vậy mọi người ơi,Quy_Che_Quy_Dinh,13,1 tín chỉ là bao nhiêu tiết lý thuyết vậy mọi người ơi
6,"thời gian đào tạo chính khóa của hệ đại học chính quy văn bằng 1 là từ 3,5 đến 5 năm.",Quy_Che_Quy_Dinh,22,thời gian đào tạo chính khóa của hệ đại học chính quy văn bằng 1 là từ 3 5 đến 5 năm
7,sinh viên có thể học vượt nhưng không được phép tốt nghiệp trước khoảng thời gian tối thiểu tính từ khi nhập học.,Quy_Che_Quy_Dinh,23,sinh viên có thể học vượt nhưng không được phép tốt nghiệp trước khoảng thời gian tối thiểu tính từ khi nhập học
8,cho hỏi thời gian tối đa để hoàn thành chương trình đại học hệ chính quy là mấy năm?,Quy_Che_Quy_Dinh,19,cho hỏi thời gian tối đa để hoàn thành chương trình đại học hệ chính quy là mấy năm
9,thời gian học trễ hạn tối đa đhcq là bao nhiêu năm dạ,Quy_Che_Quy_Dinh,13,thời gian học trễ hạn tối đa đhcq là bao nhiêu năm dạ
10,học phần tiên quyết là môn học bắt buộc sinh viên phải học xong và có kết quả đạt thì mới được đăng ký môn học tiếp theo.,Quy_Che_Quy_Dinh,28,học phần tiên quyết là môn học bắt buộc sinh viên phải học xong và có kết quả đạt thì mới được đăng ký môn học tiếp theo
11,điểm khác biệt giữa học phần tiên quyết và học phần học trước là gì?,Quy_Che_Quy_Dinh,15,điểm khác biệt giữa học phần tiên quyết và học phần học trước là gì
12,"môn a là môn học trước của môn b, vậy em rớt môn a thì kỳ sau có được đăng ký môn b không?",Quy_Che_Quy_Dinh,24,môn a là môn học trước của môn b vậy em rớt môn a thì kỳ sau có được đăng ký môn b không
13,đăng ký môn song hành như thế nào ạ có cần học cùng lúc không,Quy_Che_Quy_Dinh,15,đăng ký môn song hành như thế nào ạ có cần học cùng lúc không
