STT,Thong_Tin,Label
1,Website chính thức của Trung tâm Quản trị Hệ thống là https://csm.iuh.edu.vn/.,Thong_Tin_Trung_Tam
2,Tên tiếng Anh của Trung tâm Quản trị Hệ thống là Center of System Management.,Thong_Tin_Trung_Tam
3,Tên viết tắt của Trung tâm Quản trị Hệ thống là CSM.,Thong_Tin_Trung_Tam
4,"Trong quá trình xây dựng và phát triển ban đầu của trường, việc quản trị mạng và server do Tổ Quản trị hệ thống trực thuộc phòng ban phụ trách.",Thong_Tin_Trung_Tam
5,"Tháng 8 năm 2019, Trung tâm Quản trị Hệ thống được thành lập trên cơ sở nâng cấp từ Tổ quản trị hệ thống theo quyết định số 1296/QĐ – ĐHCN.",Thong_Tin_Trung_Tam
6,"Chức năng của Trung tâm là tham mưu giúp Hiệu trưởng quản lý, điều hành và xử lý các vấn đề về server, mạng nội bộ, internet và ứng dụng CNTT.",Thong_Tin_Trung_Tam
7,Trung tâm có chức năng thiết lập các cơ chế sao lưu dự phòng cho các hệ cơ sở dữ liệu của nhà Trường.,Thong_Tin_Trung_Tam
8,Trung tâm Quản trị Hệ thống đảm nhận chức năng tổ chức chiêu sinh và đào tạo các khoá ngắn hạn về công nghệ thông tin.,Thong_Tin_Trung_Tam
9,"Nhiệm vụ của Trung tâm là đảm bảo cơ sở hạ tầng CNTT, quản lý và vận hành hệ thống server, mạng và thiết bị trong toàn trường.",Thong_Tin_Trung_Tam
10,"Trung tâm có nhiệm vụ tổ chức, quản lý dữ liệu và xây dựng các kịch bản, mô hình backup định kỳ.",Thong_Tin_Trung_Tam
11,"Trung tâm tư vấn xây dựng các điều kiện, tiêu chuẩn kỹ thuật khi nhà trường đầu tư thiết bị liên quan đến CNTT.",Thong_Tin_Trung_Tam
12,Trung tâm Quản trị Hệ thống quản lý hệ thống email và quản trị hệ thống wifi của Trường.,Thong_Tin_Trung_Tam
13,Trung tâm quản trị và thiết lập về mặt hệ thống đối với phần mềm PMT-EMS của Nhà trường.,Thong_Tin_Trung_Tam
14,"Trung tâm nghiên cứu, triển khai các dự án CNTT và phần mềm nghiệp vụ phục vụ công tác đào tạo, quản lý.",Thong_Tin_Trung_Tam
15,Trung tâm đảm bảo an toàn dữ liệu và bảo mật thông tin cho các phần mềm được nhà trường giao phụ trách.,Thong_Tin_Trung_Tam
16,"Địa chỉ văn phòng Trung tâm Quản trị Hệ thống được đặt tại Lầu 2, nhà E và Lầu 10, nhà H, số 12 Nguyễn Văn Bảo, phường 4, quận Gò Vấp, TPHCM.",Thong_Tin_Trung_Tam
17,"Số điện thoại liên hệ của Trung tâm Quản trị Hệ thống là (028) 38 940 390, số nội bộ 168 hoặc 838.",Thong_Tin_Trung_Tam
18,Sinh viên và giảng viên có thể liên hệ với Trung tâm Quản trị Hệ thống qua email csm@iuh.edu.vn.,Thong_Tin_Trung_Tam
19,Giám đốc Trung tâm Quản trị Hệ thống là ThS. Nguyễn Phúc Hưng.,Thong_Tin_Trung_Tam
20,"Giám đốc Nguyễn Phúc Hưng phụ trách phân công công việc, tài chính, nhân sự, định hướng phát triển đơn vị và phát triển các hệ thống phần mềm hỗ trợ.",Thong_Tin_Trung_Tam
21,Phó Giám đốc Trung tâm Quản trị Hệ thống là ThS. Võ Bảo Trung.,Thong_Tin_Trung_Tam
22,"Phó Giám đốc Võ Bảo Trung phụ trách toàn bộ hệ thống server, mạng toàn trường, backup hệ thống dữ liệu và giám sát truy cập từ bên ngoài.",Thong_Tin_Trung_Tam
23,"Chuyên viên KS. Mai Hoàng Thụy Khanh phụ trách quản trị phần mềm đào tạo, hệ thống học tập trực tuyến LMS, hỗ trợ xét tốt nghiệp và tài chính thủ quỹ đơn vị.",Thong_Tin_Trung_Tam
24,"Chuyên viên KS. Lưu Quang Đức phụ trách mạng nội bộ, cấp email cho Giảng viên và sinh viên, quản trị hệ thống wifi DHCN và kiểm tra dữ liệu backup.",Thong_Tin_Trung_Tam
25,"Chuyên viên KS. Nguyễn Quang Thăng phụ trách hệ thống thi trực tuyến, cấp và thu hồi tài khoản email, quản trị nội dung website và các kênh hỗ trợ online.",Thong_Tin_Trung_Tam
26,"Chuyên viên KS. Nguyễn Thị Thúy Uyên tham gia quản trị mạng nội bộ, nghiên cứu phát triển chức năng hệ thống và hỗ trợ người dùng thông qua kênh online.",Thong_Tin_Trung_Tam
27,Trang web chính thức của Trung tâm Quản trị Hệ thống là https://csm.iuh.edu.vn/.,Thong_Tin_Trung_Tam
28,Trung tâm Quản trị Hệ thống có tên tiếng Anh là Center of System Management.,Thong_Tin_Trung_Tam
29,Tên viết tắt của Trung tâm Quản trị Hệ thống là CSM.,Thong_Tin_Trung_Tam
30,Tên gọi đầy đủ của đơn vị là TRUNG TÂM QUẢN TRỊ HỆ THỐNG trực thuộc Trường Đại học Công nghiệp TP.HCM.,Thong_Tin_Trung_Tam
31,Tiền thân của Trung tâm Quản trị Hệ thống là Tổ Quản trị hệ thống trực thuộc phòng ban phụ trách.,Thong_Tin_Trung_Tam
32,Tổ Quản trị hệ thống ban đầu thực hiện việc quản trị hệ thống mạng và server trong quá trình xây dựng và phát triển trường.,Thong_Tin_Trung_Tam
33,Trung tâm Quản trị Hệ thống thức được thành lập vào tháng 8 năm 2019.,Thong_Tin_Trung_Tam
34,Trung tâm Quản trị Hệ thống được nâng cấp từ Tổ quản trị hệ thống theo quyết định số 1296/QĐ – ĐHCN.,Thong_Tin_Trung_Tam
35,Quyết định thành lập Trung tâm Quản trị Hệ thống mang số 1296/QĐ – ĐHCN được Hiệu trưởng ký ban hành ngày 29 tháng 07 năm 2019.,Thong_Tin_Trung_Tam
36,Mục đích thành lập Trung tâm Quản trị Hệ thống là nhằm đáp ứng điều kiện phát triển công nghệ thông tin của Nhà trường và thế giới.,Thong_Tin_Trung_Tam
37,"Chức năng của Trung tâm là tham mưu giúp Hiệu trưởng quản lý, điều hành và xử lý các vấn đề liên quan đến hệ thống server, mạng nội bộ, internet và ứng dụng CNTT.",Thong_Tin_Trung_Tam
38,Trung tâm Quản trị Hệ thống có chức năng thiết lập các cơ chế sao lưu dự phòng cho các hệ cơ sở dữ liệu của các hệ thống của nhà Trường.,Thong_Tin_Trung_Tam
39,Tổ chức chiêu sinh và đào tạo các khoá ngắn hạn về CNTT là một trong những chức năng của Trung tâm Quản trị Hệ thống.,Thong_Tin_Trung_Tam
