STT,Thông tin,Label
1,Khai mạc chương trình giao lưu khoa học và văn hoá Việt - Nhật giữa IUH và TUT tại Tokyo,Hợp tác
2,Sinh viên Khoa Công nghệ Điện IUH nâng cao năng lực qua chương trình thực tập quốc tế tại Đài Loan,Hợp tác
3,IUH mở rộng hợp tác chiến lược với nhiều đối tác giáo dục – doanh nghiệp tại Nhật Bản và Việt Nam,Hợp tác
4,Giảng viên IUH tham dự khóa đào tạo quốc tế về quản lý kinh tế tuần hoàn và dệt may bền vững tại Thái Lan - Masci 2025,Hợp tác
5,Sinh viên IUH trải nghiệm học thuật và hoạt động cộng đồng trong chương trình MOBITECH tại Malaysia,Hợp tác
6,Đoàn giảng viên IUH tập huấn tại Nhật Bản trong Dự án PIUS về đào tạo kỹ sư ô tô điện,Hợp tác
7,Đại học Công nghiệp TP. Hồ Chí Minh và Trường Đại học Y tế Wonkwang ký kết hợp tác phát triển nguồn lực chất lượng cao,Hợp tác
8,"Kết nối Việt - Bỉ: IUH, Đại học Liège và Đại học Trà Vinh khởi động Dự án REMAOP",Hợp tác
9,IUH ký kết Biên bản ghi nhớ hợp tác với Đại học Kristen Krida Wacana (Indonesia),Hợp tác
10,Hội nghị triển khai hoạt động của Dự án Erasmus “GREEN EDU-SEEDS” tại Đại học Công nghiệp TP. HCM,Hợp tác
11,Sinh viên IUH - Cơ hội làm việc và phát triển sự nghiệp toàn cầu tại CHLB Đức,Hợp tác
12,"IUH cùng TUT triển khai Dự án Glocal STEAM: Cầu nối giữa khoa học, kỹ thuật với thế giới & địa phương",Hợp tác
13,Từ Google đến Việt Nam: Sinh viên Pháp chọn IUH cho kỳ thực tập quốc tế,Hợp tác
14,Khép lại hành trình đáng nhớ: Sinh viên IUH hoàn thành khoá huấn luyện điện hạt nhân tại Nga,Hợp tác
15,"Giảng viên IUH tham dự khóa đào tạo quốc tế tại Trung Quốc: Kết nối tri thức, mở rộng hợp tác",Hợp tác
16,"IUH chào đón đoàn sinh viên Pháp: Gắn kết tri thức, văn hóa",Hợp tác
17,Đại học Công nghiệp TP. HCM ký kết hợp tác chiến lược với Altair Engineering và ThinkSmart,Hợp tác
18,"Giảng viên IUH tham gia chương trình trao đổi giảng viên tại Đại học Quốc lập Trung Chính, Đài Loan",Hợp tác
19,IUH ký kết hợp tác chiến lược với Trường Đại học Siam (Thái Lan),Hợp tác
20,"Sôi nổi loạt hoạt động Tuần lễ giao lưu văn hóa, khoa học sinh viên quốc tế lần 3, năm 2025",Hợp tác
21,Đại học Công nghiệp TP. HCM tham gia dự án Green Edu Seeds của quỹ Erasmus,Hợp tác
22,Giảng viên IUH tham gia chương trình trao đổi giảng viên tại trường Đại học Kasem Bundit (Thái Lan),Hợp tác
23,Hưởng lương hơn 30 triệu/tháng cho sinh viên IUH tham gia chương trình thực tập nước ngoài,Hợp tác
24,"Dành 12 ngàn đô học bổng cho sinh viên IUH tham gia chương trình 1+3, 2+2 tại Mỹ",Hợp tác
25,IUH ký kết MOU với doanh nghiệp thuộc tập đoàn OS Group (Nhật Bản),Hợp tác
26,Đại học Công nghiệp TP. HCM và Đại học Công nghệ Tokyo ký kết hợp tác,Hợp tác
27,Ký hợp đồng cho sinh viên IUH xuất ngoại thực tập có hưởng lương tại xứ sở Phù Tang,Hợp tác
28,Sinh viên Khoa Cơ khí - IUH lên sóng Đài truyền hình Taiwan Plus,Hợp tác
29,Gần 300 sinh viên quốc tế hội tụ trong tuần lễ giao lưu văn hóa và khoa học tại Đại học Công nghiệp TP. HCM,Hợp tác
30,Giảng viên khoa Ngoại Ngữ - IUH tham gia Đào tạo ngắn hạn tại xứ sở lá phong,Hợp tác
31,Những ngày hè rực rỡ tại IUH của sinh viên Đại học Quốc gia Nghi Lan – Đài Loan (NIU),Hợp tác
32,IUH tiếp đón và làm việc cùng WU – Hàn Quốc về sản phẩm nha khoa,Hợp tác
