STT,Content,Label
1,Thông báo v/v đăng ký khóa luận tốt nghiệp năm học 2025 - 2026,Thong_Tin_Khoa
2,Thông báo v/v đăng ký về dự lễ bế giảng và trao bằng tốt nghiệp tháng 11 2025,Thong_Tin_Khoa
3,Thông tin về Thực tập Nhật Bản - Chi phí 0 đồng,Thong_Tin_Khoa
4,"Làm việc với Đoàn lãnh đạo, đại diện của các ngân hàng, bảo hiểm Nhật Bản JCCI (Nhật Bản)",Thong_Tin_Khoa
5,Thực tập sinh Nhật Bản – cơ hội tham gia với chi phí 0đ!,Thong_Tin_Khoa
6,“Đoàn giảng viên khoa Công nghệ Động lực - trường Đại học Công nghiệp TP.HCM tham quan công ty BYD VIG Bình Dương”,Thong_Tin_Khoa
7,Tuần Sinh Hoạt Công Dân – Tân Sinh Viên Đầu Khóa K21 (Năm học 2025-2026),Thong_Tin_Khoa
8,Lễ ký kết hợp tác (MOU) và tài trợ thiết bị của Công Ty Cổ Phần Trident Auto (Maserati Việt Nam) và Khoa Công Nghệ Động Lực (FAET-IUH),Thong_Tin_Khoa
9,Hội thảo kỹ thuật S-AWC tại Khoa Công nghệ Động lực – IUH,Thong_Tin_Khoa
10,Hội thảo chuyên đề: “Công nghệ xe điện hiệu suất cao” giữa giảng viên Khoa Công nghệ Động lực và  Porsche Vietnam,Thong_Tin_Khoa
11,Chương trình trao đổi và tập huấn về xe Ô tô điện giữa giảng viên Khoa Công nghệ Động lực và  Vinfast An Thái,Thong_Tin_Khoa
12,Ký thỏa thuận hợp tác với Công ty Altair và Công ty ThinkSmart,Thong_Tin_Khoa
13,Hội thảo giữa Công ty Altair Engineering - Công ty Thinksmart và Khoa Công nghệ Động lực,Thong_Tin_Khoa
14,Hội nghị đối thoại giữa lãnh đạo với sinh viên khoa Công nghệ Động Lực,Thong_Tin_Khoa
15,Chương trình tọa đàm đăng ký chuyên ngành Công nghệ kỹ thuật ô tô Điện sinh viên các lớp Đại học Công nghệ ô tô hệ đại trà khóa K20,Thong_Tin_Khoa
16,Mitsubishi Việt Nam trao tặng xe ô tô phục vụ đào tạo tại Đại học Công nghiệp TP. HCM,Thong_Tin_Khoa
17,Hoạt động tham quan kiến tập thực tế tại doanh nghiệp tại Vinfast An Thái,Thong_Tin_Khoa
18,"Hội thảo chuyên đề ""Ô tô điện và Thiết bị công nghệ sửa chữa – bảo dưỡng""",Thong_Tin_Khoa
19,Trải nghiệm thực tế xe điện thuộc dự án PIUS,Thong_Tin_Khoa
20,Lễ trao học bổng và Hội thảo công nghệ hiệu chỉnh ADAS tại Đại học Công nghiệp TP. HCM,Thong_Tin_Khoa
21,Khóa tập huấn phần mềm Opal-RT phục vụ cho công tác giảng dạy của giảng viên Khoa Công nghệ Động lực,Thong_Tin_Khoa
22,"Lễ tiếp nhận tài trợ trang thiết bị của dự án PIUS từ các cơ quan, doanh nghiệp Nhật Bản tại khoa Công nghệ Động Lực",Thong_Tin_Khoa
23,Khoa Công nghệ Động lực chào đón 03 kỹ sư hoàn thành nhiệm vụ sĩ quan dự bị năm 2024,Thong_Tin_Khoa
24,Sinh viên khoa Công nghệ Động lực đạt giải khuyến khích Giải thưởng Sinh viên nghiên cứu khoa học Euréka của Thành Đoàn TP.HCM và ĐHQG-HCM năm 2024,Thong_Tin_Khoa
25,Thông báo v/v đăng ký khóa luận tốt nghiệp năm học 2024 - 2025,Thong_Tin_Khoa
26,"Workshop “Bứt Phá Sự Nghiệp Tại Kinh Đô Ô Tô Châu Á”  Định Hình Giá Trị, Kiến Tạo Cơ Hội, Vươn Tầm Chuyên Gia",Thong_Tin_Khoa
27,Đoàn đánh giá ngoài AUN-QA đánh giá chất lượng chương trình đào tạo trình độ đại học ngành Công nghệ kỹ thuật ô tô,Thong_Tin_Khoa
28,Hội thảo Cung cấp thông tin và Góp ý Chuẩn đầu ra Chương trình đào tạo Ngành Công nghệ kỹ thuật ô tô,Thong_Tin_Khoa
29,Hội thảo sinh viên IUH nghiên cứu khoa học Năm 2024,Thong_Tin_Khoa
30,Thông báo thời hạn học tập tại Trường Đại học Công Nghiệp TPHCM,Thong_Tin_Khoa
31,Tuần sinh hoạt công dân – HSSV đầu khoá Đại học K20 - Khoa Công nghệ Động lực,Thong_Tin_Khoa
32,Lễ bế giảng và trao bằng tốt nghiệp năm 2024  - Khoa Công nghệ Động lực,Thong_Tin_Khoa
33,"Hướng dẫn Quy trình nhập học trực tuyến cho Tân sinh viên khóa 20, năm học 2024 - 2025",Thong_Tin_Khoa
34,Quyết định v/v công nhận thí sinh trúng tuyển kỳ thi tuyển sinh đào tạo trình độ Thạc sĩ năm 2024 - đợt 1,Thong_Tin_Khoa
35,Thông báo v/v tổ chức lễ Bế giảng và phát bằng Tốt nghiệp năm 2024,Thong_Tin_Khoa
36,Giảng viên Khoa Công nghệ Động Lực Trường Đại Học Công Nghiệp Tp.HHCM tham gia Hội Thao Câu Lạc Bộ Kỹ Thuật Ô Tô Lần 1 Năm 2024,Thong_Tin_Khoa
37,Sinh viên Khoa Công nghệ Động lực Trường Đại học Công nghiệp Thành phố Hồ Chí Minh Tham Quan Triển Lãm AutoTECH 2024,Thong_Tin_Khoa
38,Thông báo v/v tuyển chọn nam sinh viên tốt nghiệp Đại học cho các trường quân đội đào tạo sĩ quan dự bị năm 2024,Thong_Tin_Khoa
39,Chương trình tọa đàm tư vấn chọn chuyên ngành công nghệ Ô tô Điện cho Đại học K19,Thong_Tin_Khoa
40,TUYÊN TRUYỀN PHÁP LUẬT VỀ BẢO VỆ QUYỀN LỢI NGƯỜI TIÊU DÙNG,Thong_Tin_Khoa
41,Thông báo v/v bảo vệ đề cương khóa luận tốt nghiệp 2023 - 2024,Thong_Tin_Khoa
42,Hoạt động tham quan kiến tập thực tế của sinh viên tại doanh nghiệp Bến Thành Ford,Thong_Tin_Khoa
43,Hội Thảo “Tư vấn đào tạo tiếng đức và đi làm tại CHLB Đức,Thong_Tin_Khoa
44,"Đăng Ký Tham Gia Hội Thảo “Tư Vấn Đào Tạo Tiếng Nhật Và Đi Làm Tại Nhật Bản""",Thong_Tin_Khoa
