STT,Content,Label
1,"HỘI THẢO KHOA HỌC CẤP QUỐC GIA LẦN THỨ XI- HÓA VÔ CƠ – PHÂN BÓN- ĐẤT HIẾM & PHÂN TÍCH, 17/07.2025-7.30-13.00,E4 &E.3.2",Thong_Tin_Khoa
2,THÔNG BÁO Về chế độ ưu đãi cho sinh viên dự kiến học chương trình đào tạo thạc sĩ,Thong_Tin_Khoa
3,THÔNG BÁO MỞ KHÓA ĐÀO TẠO NGẮN HẠN SỬ DỤNG THIẾT BỊ PHÂN TÍCH,Thong_Tin_Khoa
4,Ngày hội việc làm 30/11/2023,Thong_Tin_Khoa
5,Hội thảo ứng dụng tinh dầu từ cây  Hương thảo -Lâm đồng trong sản xuất các sản phẩm chăm sóc cá nhân- Khoa Công nghệ Hóa học.,Thong_Tin_Khoa
6,Semiar vật liệu y sinh và pin nhiên liệu,Thong_Tin_Khoa
7,"Chương trình Khám phá trong lĩnh vực Khoa học, Công nghệ, Kỹ thuật và Toán học (STEM)",Thong_Tin_Khoa
8,"Hội đồng bảo vệ Luận án cấp chuyên môn Khoa CNHH, 25/05/2023, 14 giờ, phòng NC3.",Thong_Tin_Khoa
9,"Tuyển Sĩ Quan dự bị dành cho nam sinh viên khoa Hóa, năm 2023",Thong_Tin_Khoa
10,Sổ tay giáo viên 2023,Thong_Tin_Khoa
11,Triết lý giáo dục – Chính sách chất lượng,Thong_Tin_Khoa
12,Tầm nhìn – Sứ mạng – Mục tiêu – Giá trị cốt lõi – Phương châm hoạt động,Thong_Tin_Khoa
13,"Buổi làm việc giữa lãnh đạo khoa và ban cán sự các lớp, năm học 2022-2023",Thong_Tin_Khoa
14,"Chương trình Hội thảo quốc tế Hóa học ứng dụng ngành Hóa, 14-15/07/2022.",Thong_Tin_Khoa
15,"HỘI THẢO QUỐC TẾ HÓA HỌC VÀ ỨNG DỤNG 2022, CAA-FCE-2022",Thong_Tin_Khoa
16,"Danh sách GV-FCE và nước ngoài giảng dạy có hỗ trợ tiếng Anh và hoàn toàn tiếng Anh, từ 2022.",Thong_Tin_Khoa
17,"Kế hoạch hội thảo cấp Khoa Công nghệ Hóa học, từ tháng 03-05/2022.",Thong_Tin_Khoa
18,Kế hoạch dự giờ học kỳ 2 năm học 2021-2022,Thong_Tin_Khoa
19,"Hội thảo cấp khoa, nghiệm thu đề tài NCKH cấp trường năm 2022.",Thong_Tin_Khoa
20,"Seminar về năng lượng sinh học và xúc tác của Đại học Thammasat Thái Lan, 21/02/2022, 12 giờ 30",Thong_Tin_Khoa
21,Kế hoạch tham gia giải Eureka cấp trường năm 2022,Thong_Tin_Khoa
22,Tổ chức Lễ kỷ niệm ngày Nhà giáo Việt Nam năm 2021 qua màn hình trực tuyến,Thong_Tin_Khoa
23,Sinh hoạt chuyên môn Cao học  Thạc sĩ Hoá Phân Tích,Thong_Tin_Khoa
24,Bảo vệ luận văn thạc sĩ chuyên ngành Kỹ thuật hoá học và Hoá phân tích,Thong_Tin_Khoa
25,"Hội thảo Bộ môn và NCKH của Bộ môn máy và thiết bị – Thứ 6 ngày 24/09/2021, 15 giờ 00",Thong_Tin_Khoa
26,"Buổi giới thiệu, định hướng chuyên ngành cho ĐH khóa 16",Thong_Tin_Khoa
27,Bộ môn Hóa dầu – Báo cáo kết quả NCKH và phương pháp dạy học học phần Tổng hợp Nhiên liệu mới.,Thong_Tin_Khoa
28,"Tống kết công tác NCKH tại Hội thảo khoa học trẻ, lần 3-2021- Khoa Công nghệ Hóa học",Thong_Tin_Khoa
29,Báo cáo hội thảo phương pháp giảng dạy Thí nghiệm chuyên ngành- Bộ môn Công nghệ HHVL,Thong_Tin_Khoa
30,Hội thảo Bộ môn Phân tích-Ứng dụng kỹ thuật phân tích trong lĩnh vực bảo vệ sức khỏe”.,Thong_Tin_Khoa
31,Bảo vệ luận văn thạc sĩ chuyên ngành Hoá phân tích và Kỹ thuật hoá học,Thong_Tin_Khoa
