STT,Content,Label
1,Cuộc thi Đấu trường Robot lần 7 năm 2026 - Khoa CN Điện tử tổ chức,Thong_Tin_Khoa
2,MIITEK VIETNAM TUYỂN DỤNG SỐ LƯỢNG LỚN – CƠ HỘI CHO KỸ SƯ & HỌA VIÊN TRẺ,Thong_Tin_Khoa
3,Thông báo nộp và bảo vệ đề cương luận văn cao học HK2 (2025–2026),Thong_Tin_Khoa
4,Hội thảo cập nhật và phát triển chương trình đào tạo theo chuẩn đầu ra (chu kỳ 4 năm),Thong_Tin_Khoa
5,MITEK TUYỂN DỤNG SỐ LƯỢNG LỚN – APPLY NGAY!,Thong_Tin_Khoa
6,Tập đoàn Công nghệ Tripod phối hợp với Trường Đại học Công nghiệp TP.HCM (IUH) tổ chức buổi phỏng vấn tuyển dụng,Thong_Tin_Khoa
7,TMA Tech Group tuyển dụng việc làm dành cho SV mới tốt nghiệp - Chương trình Talent Fresher Program,Thong_Tin_Khoa
8,"Cuộc thi “Học sinh, Sinh viên Khởi nghiệp lần thứ 8” (SV.STARTUP-2026)",Thong_Tin_Khoa
9,Sinh viên FET giành giải Nhì Cuộc thi Thiết kế Điện tử Việt Nam 2025,Thong_Tin_Khoa
10,Giải thưởng Lương Văn Can năm 2026,Thong_Tin_Khoa
11,Cuộc thi Đấu trường Robot lần 7 năm 2026 - Khoa CN Điện tử tổ chức,Thong_Tin_Khoa
12,MIITEK VIETNAM TUYỂN DỤNG SỐ LƯỢNG LỚN – CƠ HỘI CHO KỸ SƯ & HỌA VIÊN TRẺ,Thong_Tin_Khoa
13,Thông báo nộp và bảo vệ đề cương luận văn cao học HK2 (2025–2026),Thong_Tin_Khoa
14,Hội thảo cập nhật và phát triển chương trình đào tạo theo chuẩn đầu ra (chu kỳ 4 năm),Thong_Tin_Khoa
15,MITEK TUYỂN DỤNG SỐ LƯỢNG LỚN – APPLY NGAY!,Thong_Tin_Khoa
16,Tập đoàn Công nghệ Tripod phối hợp với Trường Đại học Công nghiệp TP.HCM (IUH) tổ chức buổi phỏng vấn tuyển dụng,Thong_Tin_Khoa
17,TMA Tech Group tuyển dụng việc làm dành cho SV mới tốt nghiệp - Chương trình Talent Fresher Program,Thong_Tin_Khoa
18,"Cuộc thi “Học sinh, Sinh viên Khởi nghiệp lần thứ 8” (SV.STARTUP-2026)",Thong_Tin_Khoa
19,Sinh viên FET giành giải Nhì Cuộc thi Thiết kế Điện tử Việt Nam 2025,Thong_Tin_Khoa
20,Giải thưởng Lương Văn Can năm 2026,Thong_Tin_Khoa
21,Cuộc thi Đấu trường Robot lần 7 năm 2026 - Khoa CN Điện tử tổ chức,Thong_Tin_Khoa
