STT,Content,Label
1,Seminar chuyên đề khóa luận và thực tập doanh nghiệp: Thử thách trong môi trường công việc cạnh tranh,Thong_Tin_Khoa
2,[KTPM]: Đánh giá khóa luận tốt nghiệp HK2 2024-2025,Thong_Tin_Khoa
3,Seminar: Short-term prediction and impacts of different socio-factors and mobility levels on the spread of COVID-19,Thong_Tin_Khoa
4,[RECAP] SEMINAR FUTURE OF WORK: META-SKILLS FOR JOB (2025 – MÙA 2) _ Phần 2,Thong_Tin_Khoa
5,[RECAP]: CƠ HỘI TRẢI NGHIỆM THỰC TẾ TẠI MOBIFONE,Thong_Tin_Khoa
6,"Seminar: ""Nâng cao chất lượng danh sách khuyến nghị sử dụng mạng tích chập đồ thị""",Thong_Tin_Khoa
7,"RECAP SEMINAR: KỸ NĂNG VÀNG CHO SINH VIÊN IT - HỌC TẬP, NGHIÊN CỨU & LÀM VIỆC",Thong_Tin_Khoa
8,[RECAP] SEMINAR FUTURE OF WORK: META-SKILLS FOR JOB (2025 – MÙA 2),Thong_Tin_Khoa
9,[RECAP] SEMINAR CHUYÊN ĐỀ: PHÁT TRIỂN SẢN PHẨM PHẦN MỀM TRONG CÔNG TY FINTECH,Thong_Tin_Khoa
10,"Recap: ""AI và lập trình hiện đại: Công cụ, tài nguyên và xu hướng tương lai""",Thong_Tin_Khoa
11,Seminar: Unlock the Power of AI in Research!,Thong_Tin_Khoa
12,Đánh giá khóa luận tốt nghiệp ngành Kỹ thuật phần mềm HK1_2024-2025,Thong_Tin_Khoa
13,Hội thảo sinh viên nghiên cứu khoa học (SSRC-2024),Thong_Tin_Khoa
14,[Training] Tài chính định lượng,Thong_Tin_Khoa
15,Lễ Trao Học Bổng Khuyến Học Khoa Công Nghệ Thông Tin – Năm 2024,Thong_Tin_Khoa
16,Hội thảo Nghiên cứu Khoa học ngành Kỹ Thuật Phần Mềm,Thong_Tin_Khoa
17,[THAM QUAN DOANH NGHIỆP] - WorldQuant BRAIN,Thong_Tin_Khoa
18,[Kết nối DN]: Tăng cường kết nối FPT Software,Thong_Tin_Khoa
19,[Kết nối DN]: Kết nối với CMC Global,Thong_Tin_Khoa
20,Recap: Chia sẻ “Sử dụng AI Developer Tools hỗ trợ lập trình”,Thong_Tin_Khoa
21,"Recap: Seminar ""GitHub + AI (ChatGPT & ứng dụng) + IoT""",Thong_Tin_Khoa
22,Seminar học thuật chủ đề Lập trình phân tích dữ liệu,Thong_Tin_Khoa
23,Seminar học thuật chủ đề Serverless and Microservices,Thong_Tin_Khoa
24,Seminar học thuật chủ đề GPT,Thong_Tin_Khoa
25,Hội thảo chủ đề GitHub + AI (ChatGPT & ứng dụng) + IoT từ công ty FPT Software HCM,Thong_Tin_Khoa
26,[Kiến Tập] FPT Software Tour 2024 (Campus F-Town3),Thong_Tin_Khoa
27,Seminar: Chia sẻ  “Sử dụng AI Developer Tools hỗ trợ lập trình”,Thong_Tin_Khoa
28,Machine Learning Seminar Series,Thong_Tin_Khoa
29,Seminar học thuật đề tài Big Data,Thong_Tin_Khoa
30,Đánh giá chất lượng chương trình đào tạo Thạc sĩ ngành Khoa học Máy tính theo chuẩn AUN-QA,Thong_Tin_Khoa
31,Hội Thảo Khoa Học Cấp Khoa Lần Thứ 1 - Công Nghệ Thông Tin Và Ứng Dụng Thông Minh Trong Kỷ Nguyên Chuyển Đổi Số 2024 (ITIA-2024),Thong_Tin_Khoa
32,Chương trình Hội thảo cấp Khoa ITIA2024,Thong_Tin_Khoa
33,Đánh giá nội bộ chất lượng chương trình đào tạo ngành Kỹ thuật Phần mềm (AUN-QA),Thong_Tin_Khoa
34,ĐỊnh hướng chuyên ngành - sinh viên Đại học khóa 19,Thong_Tin_Khoa
35,[TB2] Thông báo v/v đăng ký tham dự trực tuyến Hội thảo định hướng tách ngành ĐH khóa 19,Thong_Tin_Khoa
36,ITIA2024 - Data Science,Thong_Tin_Khoa
37,Hội nghị cấp Khoa - Software Engineering and Applications - 2024,Thong_Tin_Khoa
38,Hội nghị cấp khoa - Chuyên đề Khoa học máy tính - 2024,Thong_Tin_Khoa
39,Hội nghị cấp khoa - Chuyên đề Công Nghệ Thông Tin - 2024,Thong_Tin_Khoa
40,Hội nghị cấp Khoa chủ đề Hệ thống thông tin 2024,Thong_Tin_Khoa
41,Seminar học thuật đề tài Bảo mật cơ sở dữ liệu,Thong_Tin_Khoa
42,Seminar chuyên môn Phân tích thiết kế hệ thống,Thong_Tin_Khoa
43,Seminar chuyên môn Thương mại điện tử,Thong_Tin_Khoa
44,Seminar chuyên môn Đề tài đổi mới sáng tạo iRECOM,Thong_Tin_Khoa
45,Hợp Tác Quốc Tế trong Nghiên Cứu Công Nghệ Vệ Tinh,Thong_Tin_Khoa
46,Đánh giá nội bộ chất lượng chương trình đào tạo Thạc sĩ ngành Khoa học Máy tính (AUN-QA),Thong_Tin_Khoa
47,Hội nghị Khoa học trẻ lần thứ 5 – năm 2023,Thong_Tin_Khoa
48,Seminar môn học: Lập trình phân tán với công nghệ Java,Thong_Tin_Khoa
49,Kết quả: Kiến tập tại FPT Software HCM,Thong_Tin_Khoa
50,Sinh hoạt đầu khóa dành cho các lớp Cao học K13A,Thong_Tin_Khoa
51,Seminar Bảo trì và phát triển Lab H4,Thong_Tin_Khoa
52,Hội nghị Quốc tế ICIS-2023 tại IUH: Kết nối Khoa học và Chuyển giao Công nghệ,Thong_Tin_Khoa
53,Seminar chuyên môn Phát triển ứng dụng,Thong_Tin_Khoa
54,Kết quả: Kiến tập công ty DCX VietNam - Đợt 2,Thong_Tin_Khoa
55,"Tập huấn giảng viên  - Hồ sơ môn học, số liệu đo chuẩn đầu ra ngành Kỹ Thuật Phần Mềm",Thong_Tin_Khoa
56,Hội nghị giảng viên – Xây dựng chương trình đào tạo ngành Kỹ thuật phần mềm – năm 2023,Thong_Tin_Khoa
57,Kết quả - Kiến tập tại công ty DXC Vietnam,Thong_Tin_Khoa
58,Seminar chuyên đề: Lập trình hướng sự kiện Java,Thong_Tin_Khoa
59,Kết quả: Hội thảo “Kỹ năng và Kiến thức cho lần đầu tiên đi phỏng vấn”,Thong_Tin_Khoa
60,Hội thảo: Chia sẻ Kỹ năng và Kiến thức cho lần đầu đi phỏng vấn,Thong_Tin_Khoa
61,[Kiến tập]: DXC Vietnam Office Tour,Thong_Tin_Khoa
62,IUH Coder Contest - Round 4,Thong_Tin_Khoa
63,Hội nghị Giảng viên năm 2023 - Ngành Khoa học Máy tính - trình độ Thạc sĩ,Thong_Tin_Khoa
64,Đánh giá Khóa luận tốt nghiệp - HK 2 năm học 2022-2023,Thong_Tin_Khoa
65,Kết quả IUH Coder Contest - Round 3,Thong_Tin_Khoa
66,IUH Coder Contest 2023 - Round 3,Thong_Tin_Khoa
67,Seminar chuyên đề thảo luận về chuẩn đầu ra của hai học phần “Thực tập doanh nghiệp” và “Khóa luận tốt nghiệp”,Thong_Tin_Khoa
68,Đánh giá chất lượng chương trình đào tạo ngành Khoa học Máy tính theo chuẩn AUN-QA,Thong_Tin_Khoa
69,"Webinar EDUCATION REFORMS, GENERAL ADMINISTRATION AND SECURITY MANAGEMENT",Thong_Tin_Khoa
70,HỘI THẢO CON ĐƯỜNG TRỞ THÀNH .NET ENGINEER VÀ CƠ HỘI NGHỀ NGHIỆP,Thong_Tin_Khoa
71,Seminar chuyên môn nhập môn dữ liệu lớn,Thong_Tin_Khoa
72,Seminar chuyên môn hệ cơ sở dữ liệu,Thong_Tin_Khoa
73,Seminar chuyên môn các hệ thống thông minh doanh nghiệp,Thong_Tin_Khoa
74,Webinar: Định hướng tham gia YSC lần thứ 5 và Eureka 2023,Thong_Tin_Khoa
75,Đội tuyển IUH đạt thành tích cao tại kỳ thi Olympic Toán học SV Việt Nam 2023,Thong_Tin_Khoa
76,Tập huấn tại công ty F1Security Hàn Quốc về bảo mật,Thong_Tin_Khoa
77,Seminar chuyên môn Hệ quản trị cơ sở dữ liệu,Thong_Tin_Khoa
78,Seminar chuyên môn Tương tác người máy,Thong_Tin_Khoa
79,Seminar chuyên môn về Hệ quản trị cơ sở dữ liệu NoSQL MongoDB,Thong_Tin_Khoa
80,Seminar chuyên môn Bảo mật cơ sở dữ liệu,Thong_Tin_Khoa
81,Webinar: Chương trình đào tạo Kỹ sư AI VinGroup,Thong_Tin_Khoa
82,Webinar Tài chính Định lượng,Thong_Tin_Khoa
83,Seminar chuyên môn Phân tích và thiết kế hệ thống,Thong_Tin_Khoa
84,Hội thảo: “Unlock your first career with HCLTech Vietnam - All about SAP ABAP”,Thong_Tin_Khoa
85,Hội thảo Đổi mới sáng tạo và trí tuệ nhân tạo Việt Nam-Ấn Độ 2023,Thong_Tin_Khoa
86,Seminar “Unlock your first career with HCLTech Vietnam - All about SAP ABAP”,Thong_Tin_Khoa
87,TALK SHOW: TESTER - HÃY TRỞ THÀNH SỐ 1 TRONG LĨNH VỰC CỦA BẠN,Thong_Tin_Khoa
88,Đánh giá nội bộ chất lượng chương trình đào tạo ngành Khoa học Máy tính (AUN-QA),Thong_Tin_Khoa
89,Lễ bế giảng và trao bằng tốt nghiệp đợt 2 năm 2022,Thong_Tin_Khoa
90,Đánh giá Khóa luận tốt nghiệp - HK 1 năm học 2022-2023,Thong_Tin_Khoa
91,"Seminar giới thiệu chương trình Thạc sĩ của Đại học Quốc tế Maharishi, Hoa Kỳ",Thong_Tin_Khoa
