STT,Content,Label
1,THÔNG BÁO:Về việc triển khai khảo sát phục vụ công tác đào tạo và đảm bảo chất lượng ngành Luật Kinh tế,Thong_Tin_Khoa
2,"THÔNG BÁO: TIẾN ĐỘ THỰC HIỆN HỌC PHẦN THỰC TẬP DOANH NGHIỆP VÀ KHÓA LUẬN TỐT NGHIỆP – HỌC KỲ 2, NĂM HỌC 2025–2026",Thong_Tin_Khoa
3,Những gương mặt tiêu biểu của Khoa Luật và Khoa học Chính trị IUH năm 2025,Thong_Tin_Khoa
4,THÔNG BÁO: Về việc nhận bằng tốt nghiệp đợt tháng 10/2025,Thong_Tin_Khoa
5,Khoa Luật và Khoa học Chính trị tổ chức gặp mặt đầu năm học 2025–2026 và Kỷ niệm 95 năm Ngày Phụ nữ Việt Nam 20/10 (20/10/1930 – 20/10/2025),Thong_Tin_Khoa
6,"HỘI THẢO QUỐC GIA: “Pháp luật và chính sách bảo vệ quyền và lợi ích cá nhân, công dân: 50 năm xây dựng và phát triển”",Thong_Tin_Khoa
7,Tổ chức họp Hội đồng Thẩm định điều kiện thực tế mở ngành Thạc sĩ Luật kinh tế,Thong_Tin_Khoa
8,Chào đón Tân sinh viên Khóa 21 – Khoa Luật và Khoa học Chính trị,Thong_Tin_Khoa
9,THÔNG BÁO:Lịch thẩm định đề tài KHCN cấp Trường năm 2025,Thong_Tin_Khoa
10,Thông báo: Danh sách giao đề tài Khóa luận tốt nghiệp HK1 năm học 2025–2026 (Ngành Luật Kinh tế & Luật Quốc tế),Thong_Tin_Khoa
11,Điểm trúng tuyển bậc Đại học hệ Chính quy năm 2025 tại Trụ sở chính,Thong_Tin_Khoa
12,Thông báo: về việc sử dụng phụ lục văn bằng điện tử,Thong_Tin_Khoa
13,THÔNG BÁO: Về việc nhận bằng tốt nghiệp đợt tháng 7/2025,Thong_Tin_Khoa
14,THÔNG BÁO: Về tiến độ thực hiện học phần Thực tập doanh nghiệp và Khóa luận tốt nghiệp đợt học kỳ 1 năm học 2025–2026 (Khóa 18),Thong_Tin_Khoa
15,"Hội thảo Quốc gia 2025 về công nghệ số, kinh tế số tại Đại học Công nghiệp TP. HCM",Thong_Tin_Khoa
16,"Hội thảo quốc gia 2025 về công nghệ số, kinh tế số tại Đại học Công nghiệp TP. HCM",Thong_Tin_Khoa
17,THÔNG TIN SỰ KIỆN: Hội thảo Chương trình Đào tạo Thạc sĩ ngành Luật Kinh tế,Thong_Tin_Khoa
18,"THÔNG BÁO: Về danh sách Hội đồng chuyên môn đánh giá Đề tài Khóa luận tốt nghiệp K17 – Học kỳ 2, năm học 2024–2025",Thong_Tin_Khoa
19,THÔNG BÁO: Về việc nhận bằng tốt nghiệp đợt tháng 2/2025,Thong_Tin_Khoa
20,CÔNG ĐOÀN KHOA: CHÚC MỪNG NGÀY QUỐC TẾ PHỤ NỮ 8/3,Thong_Tin_Khoa
21,"THÔNG BÁO SỰ KIỆN: Ngày hội tuyển dụng, việc làm năm 2025",Thong_Tin_Khoa
22,THƯ MỜI: Tham gia viết bài Hội thảo khoa học Quốc gia – Lĩnh vực Luật Học,Thong_Tin_Khoa
23,THƯ MỜI: Tham gia viết bài Hội thảo khoa học Quốc gia – Lĩnh vực Khoa học Chính trị,Thong_Tin_Khoa
24,THÔNGBÁO: Nghiệm thu đề tài NCKH cấp Bộ “Quyền hưởng dụng theo pháp luật nước ngoài và kinh nghiệm cho Việt Nam” do PGS.TS Lê Minh Hùng làm chủ nhiệm,Thong_Tin_Khoa
25,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP TP. HỒ CHÍ MINH THÀNH LẬP KHOA LUẬT VÀ KHOA HỌC CHÍNH TRỊ,Thong_Tin_Khoa
26,Lễ bế giảng và trao bằng tốt nghiệp năm 2023 – Khoa Luật – Trường Đại học Công nghiệp Tp. Hồ Chí Minh,Thong_Tin_Khoa
27,Cuộc thi “Phiên tòa giả định” năm 2023 – Khoa Luật – Trường Đại học Công nghiệp TP.HCM,Thong_Tin_Khoa
28,Hội thảo “Trau dồi Nhật ngữ – Thắp sáng tương lai”,Thong_Tin_Khoa
29,Buổi sinh hoạt định hướng tân sinh viên Khoa Luật – Khóa 19 – Năm 2023,Thong_Tin_Khoa
30,"Thông báo tuyển sinh đại học văn bằng hai ngành Luật kinh tế – Khoa Luật, Trường đại học Công nghiệp Tp. Hồ Chí Minh",Thong_Tin_Khoa
31,"Buổi tiếp đón đoàn đại biểu khách nước ngoài đến từ Trường đại học Stavanger – Na Uy tại Khoa Luật, Trường đại học Công nghiệp Tp. Hồ Chí Minh",Thong_Tin_Khoa
32,Hội nghị thường niên Mạng lưới các cơ sở đào tạo Luật ở Việt Nam 2022 (Vietnamese Law School Network – VLSN),Thong_Tin_Khoa
33,Kênh Bản tin IUH NEWS (IUH Channel),Thong_Tin_Khoa
34,"Hội nghị Cán bộ, Viên chức – Người lao động năm 2023 – Khoa Luật",Thong_Tin_Khoa
35,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh – Khảo sát chính thức kiểm định chất lượng cơ sở giáo dục chu kỳ 2,Thong_Tin_Khoa
36,Báo Sài Gòn Giải Phóng: Cần đặt tiêu chí phù hợp khi thu hồi đất phát triển kinh tế – xã hội,Thong_Tin_Khoa
37,"Lễ bế giảng và trao bằng tốt nghiệp đợt tháng 07 và 09/2022 – Khoa Luật, Trường ĐH Công nghiệp TP. HCM",Thong_Tin_Khoa
38,"Quyết định về Tầm nhìn, Sứ mạng, Mục tiêu, Giá trị cốt lỗi, Phương châm hoạt động, Triết lý giao dục, Chính sách chất lượng của Trường Đại học Công nghiệp Tp. Hồ Chí Minh",Thong_Tin_Khoa
39,Cuộc thi “Phiên tòa giả định 2022” – Khoa Luật Trường đại học Công nghiệp TP.HCM,Thong_Tin_Khoa
40,"Thông báo Cuộc thi “Phiên tòa giả định 2022” – Khoa Luật, Trường ĐH Công nghiệp TPHCM",Thong_Tin_Khoa
