STT,Content,Label
1,Chiêu sinh Khóa học đào tạo ngắn hạn: Kỹ Thuật Mạch Điện Tử đợt tháng 5 năm 2025,Thong_Tin_Khoa
2,Chiêu sinh Khóa học ngắn hạn: Điều Khiển Công Nghiệp tháng 11/2024,Thong_Tin_Khoa
3,Chiêu sinh Khóa học ngắn hạn: Điều Khiển Công Nghiệp,Thong_Tin_Khoa
4,Khoa Công nghệ Cơ khí nhận tài trợ phần mềm A1 Smart Factory System với tổng trị giá 450.000 USD từ Công ty TNHH A2 Automation,Thong_Tin_Khoa
5,Lễ Bế giảng và trao bằng tốt nghiệp IUH 2023 – Khoa Công nghệ Cơ khí,Thong_Tin_Khoa
6,"Khoa Công nghệ Cơ khí đón nhận 30 bản quyền phiên bản mới nhất của phần mềm Moldex3D Professional với tổng trị giá 1,5 triệu USD từ Công ty TNHH Coretech System",Thong_Tin_Khoa
7,Thông báo: Tổ chức Seminar Khoa Công nghệ Cơ khí,Thong_Tin_Khoa
8,Chiêu sinh các khóa đào tạo ngắn hạn phần mềm thiết kế cơ khí tháng 8 năm 2023,Thong_Tin_Khoa
9,Chiêu sinh các khóa đào tạo ngắn hạn phần mềm thiết kế cơ khí tháng 6 năm 2023,Thong_Tin_Khoa
10,Chiêu sinh các khóa đào tạo ngắn hạn phần mềm thiết kế cơ khí tháng 5 năm 2023,Thong_Tin_Khoa
11,Chiêu sinh khóa các đào tạo ngắn hạn phần mềm thiết kế cơ khí tháng 4 năm 2023,Thong_Tin_Khoa
12,Chiêu sinh các khóa đào tạo ngắn hạn phần mềm thiết kế cơ khí tháng 3 năm 2023,Thong_Tin_Khoa
13,Chương trình Tình nguyện: “Tết Yêu thương năm 2023”,Thong_Tin_Khoa
14,Chung kết Hội diễn Văn nghệ sinh viên toàn trường năm 2022 “IUH MUSIC FESTIVAL 2022”,Thong_Tin_Khoa
15,Chung kết Hội diễn Văn nghệ Khoa Công nghệ Cơ khí năm 2022 “ME Music Contest 7th 2022”,Thong_Tin_Khoa
16,Lễ bế giảng và trao bằng tốt nghiệp tháng 7 & 9 năm 2022,Thong_Tin_Khoa
17,Sinh hoạt công dân đầu khóa – Chào tân sinh viên Khóa 18,Thong_Tin_Khoa
18,Chương trình Tình nguyện: “Trung thu Ấm Áp” năm 2022,Thong_Tin_Khoa
19,06 Chương trình đào tạo của IUH đạt chứng nhận kiểm định ABET,Thong_Tin_Khoa
20,Cuộc thi Ý tưởng Thiết kế Thang máy Hyundai 2022,Thong_Tin_Khoa
21,Lễ bảo vệ khóa luận tốt nghiệp học kì II – năm học 2021 – 2022,Thong_Tin_Khoa
22,"Chương trình trao đổi sinh viên với Trường Đại học Công nghệ Tokyo, Nhật Bản",Thong_Tin_Khoa
23,Gặp gỡ thân mật và trao học bổng khuyến khích đến tân sinh viên đạt điểm cao trong kỳ tuyển sinh năm học 2021,Thong_Tin_Khoa
24,Giới thiệu về Tuyển sinh Tiến sĩ Kỹ thuật cơ khí,Thong_Tin_Khoa
25,Giới thiệu về Tuyển sinh Thạc sĩ Kỹ thuật cơ khí,Thong_Tin_Khoa
26,"Đại hội đại biểu đoàn TNCS Hồ Chí Minh Khoa Công nghệ cơ khí lần III, nhiệm kỳ 2022 – 2024",Thong_Tin_Khoa
27,Tọa Đàm_Chủ đề: Tương lai nào dành cho kỹ thuật thiết kế cơ khí?,Thong_Tin_Khoa
28,Seminar Khoa Cơ khí – Kiểm định ABET ngành Chế tạo máy,Thong_Tin_Khoa
29,Chương trình “Giáo dục định hướng”  Đợt 2 năm học 2021-2022,Thong_Tin_Khoa
30,Kế hoạch Chương trình chia sẻ “Kỹ năng viết CV và Chinh phục nhà tuyển dụng”,Thong_Tin_Khoa
31,Kế hoạch Chương trình chia sẻ “Giải quyết vấn đề & ra quyết định”,Thong_Tin_Khoa
32,Báo cáo tổng kết Seminar Bộ môn CTM lần 1 – 2021,Thong_Tin_Khoa
33,Top 5- Bước đột phá của IUH trên bảng xếp hạng Webometrics,Thong_Tin_Khoa
34,IUH ký kết hợp tác với Doanh nghiệp và Viện nghiên cứu về nghiên cứu khoa học & chuyển giao công nghệ,Thong_Tin_Khoa
35,SINH HOẠT CÔNG DÂN ĐẦU KHÓA – CHÀO TÂN SINH VIÊN KHÓA 16,Thong_Tin_Khoa
36,"IUH tổ chức Lễ khai giảng đào tạo trình độ Tiến sĩ khóa 4 (2020 – 2022), thạc sĩ khóa 10A và trao bằng tốt nghiệp đợt tháng 3, tháng 8 năm 2020",Thong_Tin_Khoa
37,Seminar Nghiên cứu Khoa học lần 1 – Khoa Cơ khí,Thong_Tin_Khoa
38,Thông báo – Seminar nghiên cứu khoa học lần 1 – Khoa Cơ khí,Thong_Tin_Khoa
39,IUH long trọng tổ chức Lễ Hội Khai giảng năm học 2019-2020,Thong_Tin_Khoa
40,SINH HOẠT CÔNG DÂN ĐẦU KHÓA – CHÀO TÂN SINH VIÊN KHÓA 15,Thong_Tin_Khoa
41,"Đầu tư hơn 4,6 triệu USD cho Phòng thí nghiệm nhà máy thông minh",Thong_Tin_Khoa
42,Nhà máy thông minh trong trường Đại học,Thong_Tin_Khoa
43,Phòng thí nghiệm nhà máy thông minh 4.0: Đáp ứng nguồn lực chuyên gia kỹ thuật số của Việt Nam,Thong_Tin_Khoa
44,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh đánh giá nội bộ 04 chương trình đào tạo theo tiêu chuẩn ABET,Thong_Tin_Khoa
45,"Lễ khởi động Dự án thành phần “Xây dựng cơ sở đào tạo, nghiên cứu khoa học của IUH tại Quận 12” do Ngân hàng Thế giới tài trợ",Thong_Tin_Khoa
