STT,Content,Label
1,Chúc mừng Giáng sinh và Chúc mừng năm mới 2026,Thong_Tin_Truong
2,Hội Cựu chiến binh IUH về nguồn kỷ niệm 81 năm Ngày thành lập Quân đội Nhân dân Việt Nam,Thong_Tin_Truong
3,Đại biểu IUH trúng cử vào Ban Thường vụ Công đoàn Công Thương Việt Nam khóa V,Thong_Tin_Truong
4,Biến vảy cá thành giá trị xanh: Sinh viên IUH chinh phục Giải Nhì FID 2025,Thong_Tin_Truong
5,"Vượt qua hơn 140 đội thi, sinh viên IUH giành giải Nhì Cuộc thi Thiết kế Điện tử Việt Nam 2025",Thong_Tin_Truong
6,IUH vào Top 3 trường có kết quả cao nhất toàn quốc tại OlpAI’25,Thong_Tin_Truong
7,"Vượt qua vòng Quốc gia, đội tuyển IUH giành vé vào chung kết lập trình Procon quốc tế",Thong_Tin_Truong
8,Giải Nhất Quốc tế cho nhóm sinh viên IUH tại cuộc thi Thiết kế HVAC Midea lần thứ 5,Thong_Tin_Truong
9,Đam mê trồng nấm đưa cựu sinh viên IUH trở thành CEO Vinabiomush,Thong_Tin_Truong
10,Sinh viên Đại học Công nghiệp TP.HCM giành giải Nhất toàn quốc ở Giải thưởng Euréka 2025,Thong_Tin_Truong
11,IUH hỗ trợ khẩn cấp trang thiết bị và quần áo học sinh cho vùng lũ ngập nặng,Thong_Tin_Truong
12,"IUH vinh danh và bổ nhiệm 16 GS, PGS năm 2025, tiếp tục tăng cường đội ngũ học thuật",Thong_Tin_Truong
13,IUH công bố Nghị quyết bổ nhiệm lại 02 Phó Hiệu trưởng,Thong_Tin_Truong
14,Mùa tốt nghiệp - những đại sứ mới của IUH,Thong_Tin_Truong
15,Sinh viên IUH “vùng rốn lũ” chịu thiệt hại nặng được miễn toàn bộ học phí học kỳ II,Thong_Tin_Truong
16,"IUH ký kết hợp tác mới, tăng lợi thế việc làm cho sinh viên Hóa - Dược",Thong_Tin_Truong
17,Tháng 11 rực rỡ: IUH tôn vinh thầy cô và trao nhiều giải thưởng phong trào,Thong_Tin_Truong
18,"IUH quyên góp hơn 4,3 tỷ đồng hỗ trợ khẩn cấp cho bà con miền Trung",Thong_Tin_Truong
19,IUH chào đón 20/11 với nhiều dấu mốc nổi bật và ra mắt bộ nhận diện thương hiệu mới,Thong_Tin_Truong
20,“Ký ức thầy cô” mùa IV tại IUH: Những người thầy truyền cảm hứng,Thong_Tin_Truong
21,IUH ký kết hợp tác với đơn vị tư vấn hàng đầu của Việt Nam trong lĩnh vực điện,Thong_Tin_Truong
22,IUH đón nhận Cờ thi đua của Công đoàn Công Thương Việt Nam tại Đại hội Công đoàn Trường lần thứ XVII,Thong_Tin_Truong
23,Thư chúc mừng của Bộ trưởng Nguyễn Hồng Diên nhân Ngày Nhà giáo Việt Nam 20/11,Thong_Tin_Truong
24,Sinh viên IUH đạt giải Nhì Giải thưởng Khoa học và Công nghệ sinh viên năm 2025,Thong_Tin_Truong
25,Hơn 60 doanh nghiệp “săn” nhân sự tại Ngày hội việc làm IUH 2025,Thong_Tin_Truong
26,Dấu ấn trí tuệ IUH tại vòng thi khu vực Olympic AI sinh viên 2025,Thong_Tin_Truong
27,IUH thăng hạng vượt bậc và vinh dự nhận giải thưởng quốc tế về hội nhập toàn cầu,Thong_Tin_Truong
28,Sinh viên IUH đạt giải Á quân tại chương trình “Water Tech Innovation Lounge” - Triển lãm quốc tế Vietwater 2025,Thong_Tin_Truong
