STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
1,Du lịch xứ Thanh: Đánh thức tiềm năng - Hội thảo chuyên đề tại IUH Thanh Hóa,Nghiên cứu,du lịch xứ thanh đánh thức tiềm năng hội thảo chuyên đề tại iuh thanh hóa,"['du_lịch', 'xứ_thanh', 'đánh_thức', 'tiềm_năng', 'hội_thảo', 'chuyên_đề', 'iuh_thanh', 'hóa']",du_lịch xứ_thanh đánh_thức tiềm_năng hội_thảo chuyên_đề iuh_thanh hóa,1,ICITE 2025 held for the first time in Vietnam: Connecting innovation in technology and education,Nghiên cứu,icite held for the first time in vietnam connecting innovation in technology and education,"['icite', 'hold', 'first', 'time', 'vietnam', 'connect', 'innovation', 'technology', 'education']",icite hold first time vietnam connect innovation technology education
2,Hội thảo Quốc tế về Định hướng Phát triển Hydro tại Trường Đại học Công nghiệp TP.HCM,Nghiên cứu,hội thảo quốc tế về định hướng phát triển hydro tại trường đại học công nghiệp tp hcm,"['hội_thảo', 'quốc_tế', 'định_hướng', 'phát_triển', 'hydro', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo quốc_tế định_hướng phát_triển hydro trường đại_học công_nghiệp tp hcm,2,AI in ABB's smart power system: A step forward in technological innovation at IUH,Nghiên cứu,ai in abb s smart power system a step forward in technological innovation at iuh,"['abb', 'smart', 'power', 'system', 'step', 'forward', 'technological', 'innovation', 'iuh']",abb smart power system step forward technological innovation iuh
3,ICITE 2025 lần đầu tổ chức tại Việt Nam: Kết nối đổi mới sáng tạo trong công nghệ và giáo dục,Nghiên cứu,icite lần đầu tổ chức tại việt nam kết nối đổi mới sáng tạo trong công nghệ và giáo dục,"['icite', 'lần', 'đầu', 'tổ_chức', 'việt_nam', 'kết_nối', 'đổi_mới', 'sáng_tạo', 'công_nghệ', 'giáo_dục']",icite lần đầu tổ_chức việt_nam kết_nối đổi_mới sáng_tạo công_nghệ giáo_dục,3,ACM RACS 2025 International Conference at IUH: Connecting the Asia-Pacific and global research community,Nghiên cứu,acm racs international conference at iuh connecting the asia pacific and global research community,"['acm', 'racs', 'international', 'conference', 'iuh', 'connect', 'asia', 'pacific', 'global', 'research', 'community']",acm racs international conference iuh connect asia pacific global research community
4,AI trong hệ thống điện thông minh của ABB: Bước tiến đổi mới công nghệ tại IUH,Nghiên cứu,ai trong hệ thống điện thông minh của abb bước tiến đổi mới công nghệ tại iuh,"['ai', 'hệ_thống', 'điện', 'thông_minh', 'abb', 'bước_tiến', 'đổi_mới', 'công_nghệ', 'iuh']",ai hệ_thống điện thông_minh abb bước_tiến đổi_mới công_nghệ iuh,4,"IUH Young Science Conference 2025: Gathering young researchers in the fields of technology, engineering, economics and environment",Nghiên cứu,iuh young science conference gathering young researchers in the fields of technology engineering economics and environment,"['iuh', 'young', 'science', 'conference', 'gathering', 'young', 'researcher', 'field', 'technology', 'engineering', 'economics', 'environment']",iuh young science conference gathering young researcher field technology engineering economics environment
5,Hội thảo quốc tế ACM RACS 2025 tại IUH: Kết nối cộng đồng nghiên cứu khu vực châu Á - Thái Bình Dương và toàn cầu,Nghiên cứu,hội thảo quốc tế acm racs tại iuh kết nối cộng đồng nghiên cứu khu vực châu á thái bình dương và toàn cầu,"['hội_thảo', 'quốc_tế', 'acm', 'racs', 'iuh', 'kết_nối', 'cộng_đồng', 'nghiên_cứu', 'khu_vực', 'châu_á_thái_bình_dương', 'toàn_cầu']",hội_thảo quốc_tế acm racs iuh kết_nối cộng_đồng nghiên_cứu khu_vực châu_á_thái_bình_dương toàn_cầu,5,"Workshop ""Management and commercialization of intellectual property in universities"" - Promoting research and market linkages at IUH",Nghiên cứu,workshop management and commercialization of intellectual property in universities promoting research and market linkages at iuh,"['workshop', 'management', 'commercialization', 'intellectual', 'property', 'university', 'promote', 'research', 'market', 'linkages', 'iuh']",workshop management commercialization intellectual property university promote research market linkages iuh
6,"Hội nghị Khoa học trẻ IUH 2025: Quy tụ nghiên cứu trẻ trong lĩnh vực công nghệ, kỹ thuật, kinh tế và môi trường",Nghiên cứu,hội nghị khoa học trẻ iuh quy tụ nghiên cứu trẻ trong lĩnh vực công nghệ kỹ thuật kinh tế và môi trường,"['hội_nghị', 'khoa_học', 'trẻ', 'iuh', 'quy_tụ', 'nghiên_cứu', 'trẻ', 'lĩnh_vực', 'công_nghệ', 'kỹ_thuật', 'kinh_tế', 'môi_trường']",hội_nghị khoa_học trẻ iuh quy_tụ nghiên_cứu trẻ lĩnh_vực công_nghệ kỹ_thuật kinh_tế môi_trường,6,VietCALL international conference at IUH: Bringing AI to language teaching and learning,Nghiên cứu,vietcall international conference at iuh bringing ai to language teaching and learning,"['vietcall', 'international', 'conference', 'iuh', 'bring', 'language', 'teach', 'learn']",vietcall international conference iuh bring language teach learn
7,Hội thảo “Quản trị và thương mại hoá tài sản trí tuệ trong trường đại học” - Thúc đẩy liên kết nghiên cứu và thị trường tại IUH,Nghiên cứu,hội thảo quản trị và thương mại hoá tài sản trí tuệ trong trường đại học thúc đẩy liên kết nghiên cứu và thị trường tại iuh,"['hội_thảo', 'quản_trị', 'thương_mại', 'hóa', 'tài_sản', 'trí_tuệ', 'trường', 'đại_học', 'thúc_đẩy', 'liên_kết', 'nghiên_cứu', 'thị_trường', 'iuh']",hội_thảo quản_trị thương_mại hóa tài_sản trí_tuệ trường đại_học thúc_đẩy liên_kết nghiên_cứu thị_trường iuh,7,"National Conference: 50 years of Vietnamese law - Journey to protect the rights and interests of citizens""",Nghiên cứu,national conference years of vietnamese law journey to protect the rights and interests of citizens,"['national', 'conference', 'year', 'vietnamese', 'law', 'journey', 'protect', 'right', 'interest', 'citizen']",national conference year vietnamese law journey protect right interest citizen
8,Hội nghị quốc tế VietCALL tại IUH: Mang AI vào dạy và học ngôn ngữ,Nghiên cứu,hội nghị quốc tế vietcall tại iuh mang ai vào dạy và học ngôn ngữ,"['hội_nghị', 'quốc_tế', 'vietcall', 'iuh', 'mang', 'ai', 'vào', 'dạy', 'học', 'ngôn_ngữ']",hội_nghị quốc_tế vietcall iuh mang ai vào dạy học ngôn_ngữ,8,IUH successfully hosted two international conferences: APPPFC2025 and MTFC2025 on Future Foods and Traditional Fermentation Technology,Nghiên cứu,iuh successfully hosted two international conferences apppfc and mtfc on future foods and traditional fermentation technology,"['iuh', 'successfully', 'host', 'two', 'international', 'conference', 'apppfc', 'mtfc', 'future', 'food', 'traditional', 'fermentation', 'technology']",iuh successfully host two international conference apppfc mtfc future food traditional fermentation technology
9,Hội thảo quốc gia: 50 năm pháp luật Việt Nam – Hành trình bảo vệ quyền và lợi ích của công dân”,Nghiên cứu,hội thảo quốc gia năm pháp luật việt nam hành trình bảo vệ quyền và lợi ích của công dân,"['hội_thảo', 'quốc_gia', 'năm', 'pháp_luật', 'việt_nam', 'hành_trình', 'bảo_vệ', 'quyền', 'lợi_ích', 'công_dân']",hội_thảo quốc_gia năm pháp_luật việt_nam hành_trình bảo_vệ quyền lợi_ích công_dân,9,Closing the AI ​​application Seminar series: IUH improves digital capabilities for lecturers,Nghiên cứu,closing the ai application seminar series iuh improves digital capabilities for lecturers,"['close', 'application', 'seminar', 'series', 'iuh', 'improve', 'digital', 'capability', 'lecturer']",close application seminar series iuh improve digital capability lecturer
10,IUH đăng cai thành công hai hội nghị quốc tế tầm cỡ: APPFC2025 và MTFC2025 về Thực phẩm Tương lai và Công nghệ Lên men Truyền thống,Nghiên cứu,iuh đăng cai thành công hai hội nghị quốc tế tầm cỡ appfc và mtfc về thực phẩm tương lai và công nghệ lên men truyền thống,"['iuh', 'đăng_cai', 'thành_công', 'hai', 'hội_nghị', 'quốc_tế', 'tầm_cỡ', 'appfc', 'mtfc', 'thực_phẩm', 'tương_lai', 'công_nghệ', 'lên_men', 'truyền_thống']",iuh đăng_cai thành_công hai hội_nghị quốc_tế tầm_cỡ appfc mtfc thực_phẩm tương_lai công_nghệ lên_men truyền_thống,10,"Welcome season 2 of the Eurasia Foundation's ""Knowledge Connection"" Project at IUH",Nghiên cứu,welcome season of the eurasia foundation s knowledge connection project at iuh,"['welcome', 'season', 'eurasia', 'foundation', 'knowledge', 'connection', 'project', 'iuh']",welcome season eurasia foundation knowledge connection project iuh
