STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi
1,Du lịch xứ Thanh: Đánh thức tiềm năng - Hội thảo chuyên đề tại IUH Thanh Hóa,Nghiên cứu,du lịch xứ thanh đánh thức tiềm năng hội thảo chuyên đề tại iuh thanh hóa,"['du_lịch', 'xứ_thanh', 'đánh_thức', 'tiềm_năng', 'hội_thảo', 'chuyên_đề', 'iuh_thanh', 'hóa']",du_lịch xứ_thanh đánh_thức tiềm_năng hội_thảo chuyên_đề iuh_thanh hóa
2,Hội thảo Quốc tế về Định hướng Phát triển Hydro tại Trường Đại học Công nghiệp TP.HCM,Nghiên cứu,hội thảo quốc tế về định hướng phát triển hydro tại trường đại học công nghiệp tp hcm,"['hội_thảo', 'quốc_tế', 'định_hướng', 'phát_triển', 'hydro', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo quốc_tế định_hướng phát_triển hydro trường đại_học công_nghiệp tp hcm
3,ICITE 2025 lần đầu tổ chức tại Việt Nam: Kết nối đổi mới sáng tạo trong công nghệ và giáo dục,Nghiên cứu,icite lần đầu tổ chức tại việt nam kết nối đổi mới sáng tạo trong công nghệ và giáo dục,"['icite', 'lần', 'đầu', 'tổ_chức', 'việt_nam', 'kết_nối', 'đổi_mới', 'sáng_tạo', 'công_nghệ', 'giáo_dục']",icite lần đầu tổ_chức việt_nam kết_nối đổi_mới sáng_tạo công_nghệ giáo_dục
4,AI trong hệ thống điện thông minh của ABB: Bước tiến đổi mới công nghệ tại IUH,Nghiên cứu,ai trong hệ thống điện thông minh của abb bước tiến đổi mới công nghệ tại iuh,"['ai', 'hệ_thống', 'điện', 'thông_minh', 'abb', 'bước_tiến', 'đổi_mới', 'công_nghệ', 'iuh']",ai hệ_thống điện thông_minh abb bước_tiến đổi_mới công_nghệ iuh
5,Hội thảo quốc tế ACM RACS 2025 tại IUH: Kết nối cộng đồng nghiên cứu khu vực châu Á - Thái Bình Dương và toàn cầu,Nghiên cứu,hội thảo quốc tế acm racs tại iuh kết nối cộng đồng nghiên cứu khu vực châu á thái bình dương và toàn cầu,"['hội_thảo', 'quốc_tế', 'acm', 'racs', 'iuh', 'kết_nối', 'cộng_đồng', 'nghiên_cứu', 'khu_vực', 'châu_á_thái_bình_dương', 'toàn_cầu']",hội_thảo quốc_tế acm racs iuh kết_nối cộng_đồng nghiên_cứu khu_vực châu_á_thái_bình_dương toàn_cầu
6,"Hội nghị Khoa học trẻ IUH 2025: Quy tụ nghiên cứu trẻ trong lĩnh vực công nghệ, kỹ thuật, kinh tế và môi trường",Nghiên cứu,hội nghị khoa học trẻ iuh quy tụ nghiên cứu trẻ trong lĩnh vực công nghệ kỹ thuật kinh tế và môi trường,"['hội_nghị', 'khoa_học', 'trẻ', 'iuh', 'quy_tụ', 'nghiên_cứu', 'trẻ', 'lĩnh_vực', 'công_nghệ', 'kỹ_thuật', 'kinh_tế', 'môi_trường']",hội_nghị khoa_học trẻ iuh quy_tụ nghiên_cứu trẻ lĩnh_vực công_nghệ kỹ_thuật kinh_tế môi_trường
7,Hội thảo “Quản trị và thương mại hoá tài sản trí tuệ trong trường đại học” - Thúc đẩy liên kết nghiên cứu và thị trường tại IUH,Nghiên cứu,hội thảo quản trị và thương mại hoá tài sản trí tuệ trong trường đại học thúc đẩy liên kết nghiên cứu và thị trường tại iuh,"['hội_thảo', 'quản_trị', 'thương_mại', 'hóa', 'tài_sản', 'trí_tuệ', 'trường', 'đại_học', 'thúc_đẩy', 'liên_kết', 'nghiên_cứu', 'thị_trường', 'iuh']",hội_thảo quản_trị thương_mại hóa tài_sản trí_tuệ trường đại_học thúc_đẩy liên_kết nghiên_cứu thị_trường iuh
8,Hội nghị quốc tế VietCALL tại IUH: Mang AI vào dạy và học ngôn ngữ,Nghiên cứu,hội nghị quốc tế vietcall tại iuh mang ai vào dạy và học ngôn ngữ,"['hội_nghị', 'quốc_tế', 'vietcall', 'iuh', 'mang', 'ai', 'vào', 'dạy', 'học', 'ngôn_ngữ']",hội_nghị quốc_tế vietcall iuh mang ai vào dạy học ngôn_ngữ
9,Hội thảo quốc gia: 50 năm pháp luật Việt Nam – Hành trình bảo vệ quyền và lợi ích của công dân”,Nghiên cứu,hội thảo quốc gia năm pháp luật việt nam hành trình bảo vệ quyền và lợi ích của công dân,"['hội_thảo', 'quốc_gia', 'năm', 'pháp_luật', 'việt_nam', 'hành_trình', 'bảo_vệ', 'quyền', 'lợi_ích', 'công_dân']",hội_thảo quốc_gia năm pháp_luật việt_nam hành_trình bảo_vệ quyền lợi_ích công_dân
10,IUH đăng cai thành công hai hội nghị quốc tế tầm cỡ: APPFC2025 và MTFC2025 về Thực phẩm Tương lai và Công nghệ Lên men Truyền thống,Nghiên cứu,iuh đăng cai thành công hai hội nghị quốc tế tầm cỡ appfc và mtfc về thực phẩm tương lai và công nghệ lên men truyền thống,"['iuh', 'đăng_cai', 'thành_công', 'hai', 'hội_nghị', 'quốc_tế', 'tầm_cỡ', 'appfc', 'mtfc', 'thực_phẩm', 'tương_lai', 'công_nghệ', 'lên_men', 'truyền_thống']",iuh đăng_cai thành_công hai hội_nghị quốc_tế tầm_cỡ appfc mtfc thực_phẩm tương_lai công_nghệ lên_men truyền_thống
11,Khép lại chuỗi Seminar ứng dụng AI: IUH nâng cao năng lực số cho giảng viên,Nghiên cứu,khép lại chuỗi seminar ứng dụng ai iuh nâng cao năng lực số cho giảng viên,"['khép', 'chuỗi', 'seminar', 'ứng_dụng', 'ai', 'iuh', 'nâng', 'cao', 'năng_lực', 'số', 'giảng_viên']",khép chuỗi seminar ứng_dụng ai iuh nâng cao năng_lực số giảng_viên
12,Chào đón mùa 2 Dự án “Kết nối Tri thức ” của Quỹ Eurasia tại IUH,Nghiên cứu,chào đón mùa dự án kết nối tri thức của quỹ eurasia tại iuh,"['chào_đón', 'mùa', 'dự_án', 'kết_nối', 'tri_thức', 'quỹ', 'eurasia', 'iuh']",chào_đón mùa dự_án kết_nối tri_thức quỹ eurasia iuh
13,IUH triển khai tập huấn mô phỏng quản trị chiến lược với phần mềm PriME SIM,Nghiên cứu,iuh triển khai tập huấn mô phỏng quản trị chiến lược với phần mềm prime sim,"['iuh', 'triển_khai', 'tập_huấn', 'mô_phỏng', 'quản_trị', 'chiến_lược', 'phần_mềm', 'prime', 'sim']",iuh triển_khai tập_huấn mô_phỏng quản_trị chiến_lược phần_mềm prime sim
